game_id,game_date,period,stint,slug_team,slug_opp,lineup,player_ids,player_names,garbage_time,pts_team,pts_opp,poss_team,poss_opp,secs_played
22500080,20251022,2,8,CHA,BKN,"1629012 Sexton, 1630163 Ball, 1631217 Diabaté, 1641706 Miller, 1642275 Salaün","1629012,1630163,1631217,1641706,1642275","Sexton, Ball, Diabaté, Miller, Salaün",0,0,4,3,2,62.0
22500080,20251022,2,9,CHA,BKN,"1629012 Sexton, 1630163 Ball, 1631217 Diabaté, 1641706 Miller, 1642275 Salaün","1629012,1630163,1631217,1641706,1642275","Sexton, Ball, Diabaté, Miller, Salaün",0,0,0,1,0,8.0
22500080,20251022,2,10,CHA,BKN,"1628970 Bridges, 1629012 Sexton, 1630163 Ball, 1641706 Miller, 1641750 Kalkbrenner","1628970,1629012,1630163,1641706,1641750","Bridges, Sexton, Ball, Miller, Kalkbrenner",0,6,2,4,3,78.0
22500080,20251022,2,11,CHA,BKN,"1628970 Bridges, 1629012 Sexton, 1630163 Ball, 1641706 Miller, 1641750 Kalkbrenner","1628970,1629012,1630163,1641706,1641750","Bridges, Sexton, Ball, Miller, Kalkbrenner",0,1,0,1,0,10.0
22500080,20251022,2,12,CHA,BKN,"1628970 Bridges, 1629012 Sexton, 1630163 Ball, 1641706 Miller, 1641750 Kalkbrenner","1628970,1629012,1630163,1641706,1641750","Bridges, Sexton, Ball, Miller, Kalkbrenner",0,0,0,1,1,3.0
22500080,20251022,2,13,CHA,BKN,"1628970 Bridges, 1629012 Sexton, 1630163 Ball, 1641706 Miller, 1641750 Kalkbrenner","1628970,1629012,1630163,1641706,1641750","Bridges, Sexton, Ball, Miller, Kalkbrenner",0,1,0,1,0,7.0
22500080,20251022,2,14,CHA,BKN,"1628970 Bridges, 1629012 Sexton, 1630163 Ball, 1641750 Kalkbrenner, 1642883 James","1628970,1629012,1630163,1641750,1642883","Bridges, Sexton, Ball, Kalkbrenner, James",0,0,0,0,1,3.0
22500080,20251022,2,15,CHA,BKN,"1628970 Bridges, 1630163 Ball, 1641706 Miller, 1641750 Kalkbrenner, 1642851 Knueppel","1628970,1630163,1641706,1641750,1642851","Bridges, Ball, Miller, Kalkbrenner, Knueppel",0,4,2,3,4,83.0
22500080,20251022,2,16,CHA,BKN,"1628970 Bridges, 1630163 Ball, 1641706 Miller, 1641750 Kalkbrenner, 1642851 Knueppel","1628970,1630163,1641706,1641750,1642851","Bridges, Ball, Miller, Kalkbrenner, Knueppel",0,0,1,0,1,4.0
22500080,20251022,2,17,CHA,BKN,"1628970 Bridges, 1630163 Ball, 1630544 Mann, 1641706 Miller, 1641750 Kalkbrenner","1628970,1630163,1630544,1641706,1641750","Bridges, Ball, Mann, Miller, Kalkbrenner",0,5,0,3,3,54.0
22500080,20251022,2,18,CHA,BKN,"1628970 Bridges, 1630163 Ball, 1630544 Mann, 1631217 Diabaté, 1641706 Miller","1628970,1630163,1630544,1631217,1641706","Bridges, Ball, Mann, Diabaté, Miller",0,4,2,2,3,64.0
22500080,20251022,3,1,CHA,BKN,"1628970 Bridges, 1630163 Ball, 1641706 Miller, 1641750 Kalkbrenner, 1642851 Knueppel","1628970,1630163,1641706,1641750,1642851","Bridges, Ball, Miller, Kalkbrenner, Knueppel",0,10,5,6,6,146.0
22500080,20251022,3,2,CHA,BKN,"1628970 Bridges, 1630163 Ball, 1641706 Miller, 1641750 Kalkbrenner, 1642851 Knueppel","1628970,1630163,1641706,1641750,1642851","Bridges, Ball, Miller, Kalkbrenner, Knueppel",0,3,11,4,5,123.0
22500080,20251022,3,3,CHA,BKN,"1628970 Bridges, 1630163 Ball, 1631217 Diabaté, 1641706 Miller, 1642851 Knueppel","1628970,1630163,1631217,1641706,1642851","Bridges, Ball, Diabaté, Miller, Knueppel",0,5,3,2,3,64.0
22500080,20251022,3,4,CHA,BKN,"1628970 Bridges, 1630163 Ball, 1631217 Diabaté, 1641706 Miller, 1642851 Knueppel","1628970,1630163,1631217,1641706,1642851","Bridges, Ball, Diabaté, Miller, Knueppel",0,0,1,0,1,6.0
