period,clock,clock_display,game_clock,minutes_left_in_game,actionNumber,actionType,description,qualifier,playerName,scoreHome,scoreAway,shotResult,isFieldGoal,assisted,person_id,assister_id,previous_action,next_action,foulDrawnPersonId,stealPersonId,blockPersonId,players_on,off_players_on,def_players_on,xLegacy,yLegacy,teamId,game_id,poc_ok
1,PT12M00.00S,12:00,Q1 12:00,48.0,2,period,Start of 1st Period (8:11 PM EST),[],,0,0,,False,False,0.0,,,2pt made,,,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1628415|201188|201936|203210|203463,1626157|201952|201959|202710|203952,,,1610612763.0,21700345,True
1,PT11M42.00S,11:42,Q1 11:42,47.7,7,2pt,Brooks 16' Pullup Jump Shot (2 PTS) (Gasol 1 AST),[],Brooks,2,0,Made,True,True,1628415.0,201188.0,period,2pt missed,,,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1628415|201188|201936|203210|203463,1626157|201952|201959|202710|203952,-19.0,163.0,1610612763.0,21700345,True
1,PT11M24.00S,11:24,Q1 11:24,47.4,9,2pt,MISS Gibson 18' Jump Shot,[],Gibson,2,0,Missed,True,False,201959.0,,2pt made,rebound,,,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1626157|201952|201959|202710|203952,1628415|201188|201936|203210|203463,-181.0,25.0,1610612750.0,21700345,True
1,PT11M21.00S,11:21,Q1 11:21,47.35,10,rebound,McLemore REBOUND (Off:0 Def:1),[],McLemore,2,0,,False,False,203463.0,,2pt missed,2pt made,,,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1628415|201188|201936|203210|203463,1626157|201952|201959|202710|203952,,,1610612763.0,21700345,True
1,PT11M13.00S,11:13,Q1 11:13,47.21666666666667,11,2pt,Green 11' Jump Shot (2 PTS),[],Green,4,0,Made,True,False,203210.0,,rebound,2pt missed,,,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1628415|201188|201936|203210|203463,1626157|201952|201959|202710|203952,-103.0,27.0,1610612763.0,21700345,True
1,PT10M54.00S,10:54,Q1 10:54,46.9,14,2pt,MISS Gibson 15' Jump Shot,[],Gibson,4,0,Missed,True,False,201959.0,,2pt made,rebound,,,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1626157|201952|201959|202710|203952,1628415|201188|201936|203210|203463,-9.0,152.0,1610612750.0,21700345,True
1,PT10M51.00S,10:51,Q1 10:51,46.85,15,rebound,Green REBOUND (Off:0 Def:1),[],Green,4,0,,False,False,203210.0,,2pt missed,foul,,,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1628415|201188|201936|203210|203463,1626157|201952|201959|202710|203952,,,1610612763.0,21700345,True
1,PT10M48.00S,10:48,Q1 10:48,46.8,16,foul,Gibson S.FOUL (P1.T1) (C.Blair),[],Gibson,4,0,,False,False,201959.0,,rebound,freethrow,201188.0,,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1626157|201952|201959|202710|203952,1628415|201188|201936|203210|203463,,,1610612750.0,21700345,True
1,PT10M48.00S,10:48,Q1 10:48,46.8,18,freethrow,Gasol Free Throw 1 of 2 (1 PTS),[],Gasol,5,0,Made,False,False,201188.0,,foul,freethrow,,,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1628415|201188|201936|203210|203463,1626157|201952|201959|202710|203952,,,1610612763.0,21700345,True
1,PT10M48.00S,10:48,Q1 10:48,46.8,19,freethrow,Gasol Free Throw 2 of 2 (2 PTS),[],Gasol,6,0,Made,False,False,201188.0,,freethrow,3pt made,,,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1628415|201188|201936|203210|203463,1626157|201952|201959|202710|203952,,,1610612763.0,21700345,True
1,PT10M27.00S,10:27,Q1 10:27,46.45,20,3pt,Butler 26' 3PT Pullup Jump Shot (3 PTS),[],Butler,6,3,Made,True,False,202710.0,,freethrow,2pt missed,,,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1626157|201952|201959|202710|203952,1628415|201188|201936|203210|203463,-11.0,256.0,1610612750.0,21700345,True
1,PT10M06.00S,10:06,Q1 10:06,46.1,21,2pt,MISS Brooks 5' Driving Layup,['pointsinthepaint'],Brooks,6,3,Missed,True,False,1628415.0,,3pt made,rebound,,,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1628415|201188|201936|203210|203463,1626157|201952|201959|202710|203952,12.0,47.0,1610612763.0,21700345,True
1,PT10M02.00S,10:02,Q1 10:02,46.03333333333333,22,rebound,Gibson REBOUND (Off:0 Def:1),[],Gibson,6,3,,False,False,201959.0,,2pt missed,2pt made,,,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1626157|201952|201959|202710|203952,1628415|201188|201936|203210|203463,,,1610612750.0,21700345,True
1,PT09M51.00S,09:51,Q1 09:51,45.85,23,2pt,Butler 3' Driving Layup (5 PTS),['pointsinthepaint'],Butler,6,5,Made,True,False,202710.0,,rebound,2pt missed,,,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1626157|201952|201959|202710|203952,1628415|201188|201936|203210|203463,21.0,23.0,1610612750.0,21700345,True
1,PT09M33.00S,09:33,Q1 09:33,45.55,25,2pt,MISS Green 17' Jump Shot,[],Green,6,5,Missed,True,False,203210.0,,2pt made,rebound,,,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1628415|201188|201936|203210|203463,1626157|201952|201959|202710|203952,149.0,72.0,1610612763.0,21700345,True
1,PT09M30.00S,09:30,Q1 09:30,45.5,26,rebound,Wiggins REBOUND (Off:0 Def:1),[],Wiggins,6,5,,False,False,203952.0,,2pt missed,2pt made,,,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1626157|201952|201959|202710|203952,1628415|201188|201936|203210|203463,,,1610612750.0,21700345,True
1,PT09M16.00S,09:16,Q1 09:16,45.266666666666666,27,2pt,Butler 14' Pullup Jump Shot (7 PTS) (Teague 1 AST),[],Butler,6,7,Made,True,True,202710.0,201952.0,rebound,2pt missed,,,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1626157|201952|201959|202710|203952,1628415|201188|201936|203210|203463,125.0,52.0,1610612750.0,21700345,True
1,PT09M03.00S,09:03,Q1 09:03,45.05,29,2pt,MISS Gasol 21' Jump Shot,[],Gasol,6,7,Missed,True,False,201188.0,,2pt made,rebound,,,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1628415|201188|201936|203210|203463,1626157|201952|201959|202710|203952,57.0,206.0,1610612763.0,21700345,True
1,PT09M00.00S,09:00,Q1 09:00,45.0,30,rebound,Gibson REBOUND (Off:0 Def:2),[],Gibson,6,7,,False,False,201959.0,,2pt missed,foul,,,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1626157|201952|201959|202710|203952,1628415|201188|201936|203210|203463,,,1610612750.0,21700345,True
1,PT08M58.00S,08:58,Q1 08:58,44.96666666666667,31,foul,Gasol P.FOUL (P1.T1) (M.Callahan),[],Gasol,6,7,,False,False,201188.0,,rebound,3pt missed,201959.0,,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1628415|201188|201936|203210|203463,1626157|201952|201959|202710|203952,,,1610612763.0,21700345,True
1,PT08M52.00S,08:52,Q1 08:52,44.86666666666667,33,3pt,MISS Gibson 3PT Jump Shot,[],Gibson,6,7,Missed,True,False,201959.0,,foul,rebound,,,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1626157|201952|201959|202710|203952,1628415|201188|201936|203210|203463,227.0,57.0,1610612750.0,21700345,True
1,PT08M48.00S,08:48,Q1 08:48,44.8,34,rebound,Evans REBOUND (Off:0 Def:1),[],Evans,6,7,,False,False,201936.0,,3pt missed,2pt made,,,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1628415|201188|201936|203210|203463,1626157|201952|201959|202710|203952,,,1610612763.0,21700345,True
1,PT08M44.00S,08:44,Q1 08:44,44.733333333333334,35,2pt,Evans 3' Running Layup (2 PTS),['pointsinthepaint'],Evans,8,7,Made,True,False,201936.0,,rebound,2pt missed,,,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1628415|201188|201936|203210|203463,1626157|201952|201959|202710|203952,27.0,16.0,1610612763.0,21700345,True
1,PT08M33.00S,08:33,Q1 08:33,44.55,36,2pt,MISS Teague 4' Driving Reverse Layup,['pointsinthepaint'],Teague,8,7,Missed,True,False,201952.0,,2pt made,block,,,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1626157|201952|201959|202710|203952,1628415|201188|201936|203210|203463,-36.0,12.0,1610612750.0,21700345,True
1,PT08M33.00S,08:33,Q1 08:33,44.55,36,block,Evans BLOCK (1 BLK),[],Evans,8,7,,False,False,201936.0,,2pt missed,rebound,,,201936.0,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1628415|201188|201936|203210|203463,1626157|201952|201959|202710|203952,,,1610612763.0,21700345,True
1,PT08M29.00S,08:29,Q1 08:29,44.483333333333334,38,rebound,McLemore REBOUND (Off:0 Def:2),[],McLemore,8,7,,False,False,203463.0,,block,2pt made,,,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1628415|201188|201936|203210|203463,1626157|201952|201959|202710|203952,,,1610612763.0,21700345,True
1,PT08M22.00S,08:22,Q1 08:22,44.36666666666667,39,2pt,Gasol 1' Cutting Layup Shot (4 PTS) (Evans 1 AST),['pointsinthepaint'],Gasol,10,7,Made,True,True,201188.0,201936.0,rebound,2pt missed,,,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1628415|201188|201936|203210|203463,1626157|201952|201959|202710|203952,-3.0,9.0,1610612763.0,21700345,True
1,PT08M01.00S,08:01,Q1 08:01,44.016666666666666,41,2pt,MISS Wiggins 17' Pullup Jump Shot,[],Wiggins,10,7,Missed,True,False,203952.0,,2pt made,rebound,,,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1626157|201952|201959|202710|203952,1628415|201188|201936|203210|203463,102.0,134.0,1610612750.0,21700345,True
1,PT07M58.00S,07:58,Q1 07:58,43.96666666666667,42,rebound,Towns REBOUND (Off:1 Def:0),[],Towns,10,7,,False,False,1626157.0,,2pt missed,2pt made,,,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1626157|201952|201959|202710|203952,1628415|201188|201936|203210|203463,,,1610612750.0,21700345,True
1,PT07M56.00S,07:56,Q1 07:56,43.93333333333334,43,2pt,Wiggins 2' Cutting Dunk Shot (2 PTS) (Towns 1 AST),['pointsinthepaint'],Wiggins,10,9,Made,True,True,203952.0,1626157.0,rebound,turnover,,,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1626157|201952|201959|202710|203952,1628415|201188|201936|203210|203463,8.0,20.0,1610612750.0,21700345,True
1,PT07M43.00S,07:43,Q1 07:43,43.71666666666667,45,turnover,Gasol Lost Ball Turnover (P1.T1),[],Gasol,10,9,,False,False,201188.0,,2pt made,steal,,,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1628415|201188|201936|203210|203463,1626157|201952|201959|202710|203952,,,1610612763.0,21700345,True
1,PT07M43.00S,07:43,Q1 07:43,43.71666666666667,45,steal,Butler STEAL (1 STL),[],Butler,10,9,,False,False,202710.0,,turnover,2pt made,,202710.0,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1626157|201952|201959|202710|203952,1628415|201188|201936|203210|203463,,,1610612750.0,21700345,True
1,PT07M30.00S,07:30,Q1 07:30,43.5,47,2pt,Gibson 3' Cutting Dunk Shot (2 PTS) (Butler 1 AST),['pointsinthepaint'],Gibson,10,11,Made,True,True,201959.0,202710.0,steal,timeout,,,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1626157|201952|201959|202710|203952,1628415|201188|201936|203210|203463,8.0,31.0,1610612750.0,21700345,True
1,PT07M30.00S,07:30,Q1 07:30,43.5,49,timeout,GRIZZLIES Timeout: Regular (Full 1 Short 0),[],,10,11,,False,False,0.0,,2pt made,substitution,,,,1626157|1628415|201188|201936|201952|201959|202710|203210|203463|203952,1628415|201188|201936|203210|203463,1626157|201952|201959|202710|203952,,,1610612763.0,21700345,True
1,PT07M30.00S,07:30,Q1 07:30,43.5,50,substitution,SUB out: T. Evans,[],Evans,10,11,,False,False,201936.0,,timeout,substitution,,,,1626157|1628415|201188|201952|201959|202710|203210|203463|203952,1628415|201188|203210|203463,1626157|201952|201959|202710|203952,,,1610612763.0,21700345,False
1,PT07M30.00S,07:30,Q1 07:30,43.5,51,substitution,SUB in: A. Harrison,[],Harrison,10,11,,False,False,1626150.0,,substitution,3pt made,,,,1626150|1626157|1628415|201188|201952|201959|202710|203210|203463|203952,1626150|1628415|201188|203210|203463,1626157|201952|201959|202710|203952,,,1610612763.0,21700345,True
1,PT07M16.00S,07:16,Q1 07:16,43.266666666666666,52,3pt,Gasol 25' 3PT Jump Shot (7 PTS) (Harrison 1 AST),[],Gasol,13,11,Made,True,True,201188.0,1626150.0,substitution,2pt made,,,,1626150|1626157|1628415|201188|201952|201959|202710|203210|203463|203952,1626150|1628415|201188|203210|203463,1626157|201952|201959|202710|203952,52.0,247.0,1610612763.0,21700345,True
1,PT06M58.00S,06:58,Q1 06:58,42.96666666666667,54,2pt,Teague 4' Layup (2 PTS),['pointsinthepaint'],Teague,13,13,Made,True,False,201952.0,,3pt made,2pt made,,,,1626150|1626157|1628415|201188|201952|201959|202710|203210|203463|203952,1626157|201952|201959|202710|203952,1626150|1628415|201188|203210|203463,-32.0,26.0,1610612750.0,21700345,True
1,PT06M35.00S,06:35,Q1 06:35,42.583333333333336,55,2pt,Harrison 2' Driving Reverse Layup (2 PTS),['pointsinthepaint'],Harrison,15,13,Made,True,False,1626150.0,,2pt made,3pt missed,,,,1626150|1626157|1628415|201188|201952|201959|202710|203210|203463|203952,1626150|1628415|201188|203210|203463,1626157|201952|201959|202710|203952,13.0,16.0,1610612763.0,21700345,True
1,PT06M17.00S,06:17,Q1 06:17,42.28333333333333,56,3pt,MISS Wiggins 27' 3PT Jump Shot,[],Wiggins,15,13,Missed,True,False,203952.0,,2pt made,rebound,,,,1626150|1626157|1628415|201188|201952|201959|202710|203210|203463|203952,1626157|201952|201959|202710|203952,1626150|1628415|201188|203210|203463,-170.0,211.0,1610612750.0,21700345,True
1,PT06M14.00S,06:14,Q1 06:14,42.233333333333334,57,rebound,Brooks REBOUND (Off:0 Def:1),[],Brooks,15,13,,False,False,1628415.0,,3pt missed,2pt missed,,,,1626150|1626157|1628415|201188|201952|201959|202710|203210|203463|203952,1626150|1628415|201188|203210|203463,1626157|201952|201959|202710|203952,,,1610612763.0,21700345,True
