period,clock,clock_display,game_clock,minutes_left_in_game,actionNumber,actionType,description,qualifier,playerName,scoreHome,scoreAway,shotResult,isFieldGoal,assisted,person_id,assister_id,previous_action,next_action,foulDrawnPersonId,stealPersonId,blockPersonId,players_on,off_players_on,def_players_on,xLegacy,yLegacy,teamId,game_id,poc_ok
1,PT12M00.00S,12:00,Q1 12:00,48.0,0,period,Start of 1st Period (6:11 PM EST),[],,0,0,,False,False,0.0,,,2pt made,,,,101106|101139|201579|201588|202691|203084|203110|203524|2561|2733,101139|201579|201588|203524|2561,101106|202691|203084|203110|2733,,,1610612754.0,21400824,True
1,PT11M40.00S,11:40,Q1 11:40,47.666666666666664,2,2pt,Livingston 6' Jump Shot (2 PTS),['pointsinthepaint'],Livingston,0,2,Made,True,False,2733.0,,period,2pt missed,,,,101106|101139|201579|201588|202691|203084|203110|203524|2561|2733,101106|202691|203084|203110|2733,101139|201579|201588|203524|2561,29.0,56.0,1610612744.0,21400824,True
1,PT11M24.00S,11:24,Q1 11:24,47.4,3,2pt,MISS West 17' Jump Shot,[],West,0,2,Missed,True,False,2561.0,,2pt made,rebound,,,,101106|101139|201579|201588|202691|203084|203110|203524|2561|2733,101139|201579|201588|203524|2561,101106|202691|203084|203110|2733,-168.0,3.0,1610612754.0,21400824,True
1,PT11M22.00S,11:22,Q1 11:22,47.36666666666667,4,rebound,Barnes REBOUND (Off:0 Def:1),[],Barnes,0,2,,False,False,203084.0,,2pt missed,3pt missed,,,,101106|101139|201579|201588|202691|203084|203110|203524|2561|2733,101106|202691|203084|203110|2733,101139|201579|201588|203524|2561,,,1610612744.0,21400824,True
1,PT11M16.00S,11:16,Q1 11:16,47.266666666666666,5,3pt,MISS Green 26' 3PT Jump Shot,[],Green,0,2,Missed,True,False,203110.0,,rebound,rebound,,,,101106|101139|201579|201588|202691|203084|203110|203524|2561|2733,101106|202691|203084|203110|2733,101139|201579|201588|203524|2561,37.0,255.0,1610612744.0,21400824,True
1,PT11M14.00S,11:14,Q1 11:14,47.233333333333334,6,rebound,G. Hill REBOUND (Off:0 Def:1),[],Hill,0,2,,False,False,201588.0,,3pt missed,2pt made,,,,101106|101139|201579|201588|202691|203084|203110|203524|2561|2733,101139|201579|201588|203524|2561,101106|202691|203084|203110|2733,,,1610612754.0,21400824,True
1,PT11M03.00S,11:03,Q1 11:03,47.05,7,2pt,Hibbert 19' Jump Shot (2 PTS) (G. Hill 1 AST),[],Hibbert,2,2,Made,True,True,201579.0,201588.0,rebound,turnover,,,,101106|101139|201579|201588|202691|203084|203110|203524|2561|2733,101139|201579|201588|203524|2561,101106|202691|203084|203110|2733,4.0,194.0,1610612754.0,21400824,True
1,PT10M45.00S,10:45,Q1 10:45,46.75,9,turnover,Thompson Out of Bounds Lost Ball Turnover (P1.T1),[],Thompson,2,2,,False,False,202691.0,,2pt made,2pt missed,,,,101106|101139|201579|201588|202691|203084|203110|203524|2561|2733,101106|202691|203084|203110|2733,101139|201579|201588|203524|2561,,,1610612744.0,21400824,True
1,PT10M34.00S,10:34,Q1 10:34,46.56666666666666,10,2pt,MISS Miles 20' Jump Shot,[],Miles,2,2,Missed,True,False,101139.0,,turnover,rebound,,,,101106|101139|201579|201588|202691|203084|203110|203524|2561|2733,101139|201579|201588|203524|2561,101106|202691|203084|203110|2733,20.0,200.0,1610612754.0,21400824,True
1,PT10M33.00S,10:33,Q1 10:33,46.55,11,rebound,Livingston REBOUND (Off:0 Def:1),[],Livingston,2,2,,False,False,2733.0,,2pt missed,2pt made,,,,101106|101139|201579|201588|202691|203084|203110|203524|2561|2733,101106|202691|203084|203110|2733,101139|201579|201588|203524|2561,,,1610612744.0,21400824,True
1,PT10M24.00S,10:24,Q1 10:24,46.4,12,2pt,Barnes 18' Pullup Jump Shot (2 PTS) (Bogut 1 AST),[],Barnes,2,4,Made,True,True,203084.0,101106.0,rebound,foul,,,,101106|101139|201579|201588|202691|203084|203110|203524|2561|2733,101106|202691|203084|203110|2733,101139|201579|201588|203524|2561,7.0,181.0,1610612744.0,21400824,True
1,PT10M05.00S,10:05,Q1 10:05,46.083333333333336,13,foul,Thompson S.FOUL (P1.T1),[],Thompson,2,4,,False,False,202691.0,,2pt made,freethrow,203524.0,,,101106|101139|201579|201588|202691|203084|203110|203524|2561|2733,101106|202691|203084|203110|2733,101139|201579|201588|203524|2561,,,1610612744.0,21400824,True
1,PT10M05.00S,10:05,Q1 10:05,46.083333333333336,14,freethrow,S. Hill Free Throw 1 of 2 (1 PTS),[],Hill,3,4,Made,False,False,203524.0,,foul,freethrow,,,,101106|101139|201579|201588|202691|203084|203110|203524|2561|2733,101139|201579|201588|203524|2561,101106|202691|203084|203110|2733,,,1610612754.0,21400824,True
1,PT10M05.00S,10:05,Q1 10:05,46.083333333333336,16,freethrow,S. Hill Free Throw 2 of 2 (2 PTS),[],Hill,4,4,Made,False,False,203524.0,,freethrow,2pt missed,,,,101106|101139|201579|201588|202691|203084|203110|203524|2561|2733,101139|201579|201588|203524|2561,101106|202691|203084|203110|2733,,,1610612754.0,21400824,True
1,PT09M51.00S,09:51,Q1 09:51,45.85,18,2pt,MISS Bogut 5' Jump Shot,['pointsinthepaint'],Bogut,4,4,Missed,True,False,101106.0,,freethrow,block,,,,101106|101139|201579|201588|202691|203084|203110|203524|2561|2733,101106|202691|203084|203110|2733,101139|201579|201588|203524|2561,31.0,33.0,1610612744.0,21400824,True
