period,clock,clock_display,game_clock,minutes_left_in_game,actionNumber,actionType,description,qualifier,playerName,scoreHome,scoreAway,shotResult,isFieldGoal,assisted,person_id,assister_id,previous_action,next_action,foulDrawnPersonId,stealPersonId,blockPersonId,players_on,off_players_on,def_players_on,xLegacy,yLegacy,teamId,game_id
1,PT11M41.00S,11:41,Q1 11:41,46.31666666666667,8,2pt,T. Maxey driving finger roll Layup (2 PTS) (A. Drummond 1 AST),['pointsinthepaint'],Maxey,2,0,Made,True,True,1630178,203083.0,,foul,,,,1626162|1629638|1630168|1630178|1630552|1630700|1631230|1642258|1642845|203083,1626162|1630178|1631230|1642845|203083,1629638|1630168|1630552|1630700|1642258,-20.0,9.0,1610612755.0,22500794
1,PT11M28.00S,11:28,Q1 11:28,46.53333333333333,10,foul,A. Drummond defensive-3-second technical FOUL (1 Tech),['1freethrow'],Drummond,2,0,,False,False,203083,,2pt made,freethrow,,,,1626162|1629638|1630168|1630178|1630552|1630700|1631230|1642258|1642845|203083,1626162|1630178|1631230|1642845|203083,1629638|1630168|1630552|1630700|1642258,,,1610612755.0,22500794
1,PT11M28.00S,11:28,Q1 11:28,46.53333333333333,11,freethrow,N. Alexander-Walker technical Free Throw 1 of 1 (1 PTS),[],Alexander-Walker,2,1,Made,False,False,1629638,,foul,2pt missed,,,,1626162|1629638|1630168|1630178|1630552|1630700|1631230|1642258|1642845|203083,1629638|1630168|1630552|1630700|1642258,1626162|1630178|1631230|1642845|203083,,,1610612737.0,22500794
1,PT11M17.00S,11:17,Q1 11:17,46.71666666666667,12,2pt,MISS D. Daniels driving finger roll Layup,['pointsinthepaint'],Daniels,2,1,Missed,True,False,1630700,,freethrow,rebound,,,,1626162|1629638|1630168|1630178|1630552|1630700|1631230|1642258|1642845|203083,1629638|1630168|1630552|1630700|1642258,1626162|1630178|1631230|1642845|203083,16.0,17.0,1610612737.0,22500794
1,PT11M15.00S,11:15,Q1 11:15,46.75,13,rebound,A. Drummond REBOUND (Off:0 Def:1),[],Drummond,2,1,,False,False,203083,,2pt missed,turnover,,,,1626162|1629638|1630168|1630178|1630552|1630700|1631230|1642258|1642845|203083,1626162|1630178|1631230|1642845|203083,1629638|1630168|1630552|1630700|1642258,,,1610612755.0,22500794
1,PT11M07.00S,11:07,Q1 11:07,46.88333333333333,14,turnover,V. Edgecombe lost ball TURNOVER (1 TO),[],Edgecombe,2,1,,False,False,1642845,,rebound,steal,,1642258.0,,1626162|1629638|1630168|1630178|1630552|1630700|1631230|1642258|1642845|203083,1626162|1630178|1631230|1642845|203083,1629638|1630168|1630552|1630700|1642258,,,1610612755.0,22500794
1,PT11M07.00S,11:07,Q1 11:07,46.88333333333333,15,steal,Z. Risacher STEAL (1 STL),[],Risacher,2,1,,False,False,1642258,,turnover,2pt made,,,,1626162|1629638|1630168|1630178|1630552|1630700|1631230|1642258|1642845|203083,1629638|1630168|1630552|1630700|1642258,1626162|1630178|1631230|1642845|203083,,,1610612737.0,22500794
1,PT10M52.00S,10:52,Q1 10:52,45.13333333333333,19,2pt,D. Daniels driving DUNK (2 PTS) (Z. Risacher 1 AST),"['pointsinthepaint', 'fromturnover']",Daniels,2,3,Made,True,True,1630700,1642258.0,steal,2pt made,,,,1626162|1629638|1630168|1630178|1630552|1630700|1631230|1642258|1642845|203083,1629638|1630168|1630552|1630700|1642258,1626162|1630178|1631230|1642845|203083,4.0,-9.0,1610612737.0,22500794
1,PT10M28.00S,10:28,Q1 10:28,45.53333333333333,21,2pt,V. Edgecombe 18' pullup Jump Shot (2 PTS),[],Edgecombe,4,3,Made,True,False,1642845,,2pt made,3pt missed,,,,1626162|1629638|1630168|1630178|1630552|1630700|1631230|1642258|1642845|203083,1626162|1630178|1631230|1642845|203083,1629638|1630168|1630552|1630700|1642258,81.0,168.0,1610612755.0,22500794
1,PT10M14.00S,10:14,Q1 10:14,45.766666666666666,22,3pt,MISS J. Johnson 25' 3PT,[],Johnson,4,3,Missed,True,False,1630552,,2pt made,rebound,,,,1626162|1629638|1630168|1630178|1630552|1630700|1631230|1642258|1642845|203083,1629638|1630168|1630552|1630700|1642258,1626162|1630178|1631230|1642845|203083,-172.0,191.0,1610612737.0,22500794
