period,clock,clock_display,game_clock,minutes_left_in_game,actionNumber,actionType,description,qualifier,playerName,scoreHome,scoreAway,shotResult,isFieldGoal,assisted,person_id,assister_id,previous_action,next_action,foulDrawnPersonId,stealPersonId,blockPersonId,players_on,off_players_on,def_players_on,xLegacy,yLegacy,teamId,game_id,poc_ok
1,PT12M00.00S,12:00,Q1 12:00,48.0,2,period,Start of 1st Period (7:16 PM EST),[],,0,0,,False,False,0.0,,,3pt missed,,,,200782|201566|201569|201935|201980|202693|203076|203484|203496|2544,200782|201566|201569|201935|203496,201980|202693|203076|203484|2544,,,1610612745.0,41900224,True
1,PT11M44.00S,11:44,Q1 11:44,47.733333333333334,7,3pt,MISS Morris 25' 3PT Jump Shot,[],Morris,0,0,Missed,True,False,202693.0,,period,rebound,,,,200782|201566|201569|201935|201980|202693|203076|203484|203496|2544,201980|202693|203076|203484|2544,200782|201566|201569|201935|203496,174.0,182.0,1610612747.0,41900224,True
1,PT11M41.00S,11:41,Q1 11:41,47.68333333333334,8,rebound,Covington REBOUND (Off:0 Def:1),[],Covington,0,0,,False,False,203496.0,,3pt missed,3pt missed,,,,200782|201566|201569|201935|201980|202693|203076|203484|203496|2544,200782|201566|201569|201935|203496,201980|202693|203076|203484|2544,,,1610612745.0,41900224,True
1,PT11M18.00S,11:18,Q1 11:18,47.3,9,3pt,MISS Harden 3PT Jump Shot,[],Harden,0,0,Missed,True,False,201935.0,,rebound,rebound,,,,200782|201566|201569|201935|201980|202693|203076|203484|203496|2544,200782|201566|201569|201935|203496,201980|202693|203076|203484|2544,222.0,6.0,1610612745.0,41900224,True
1,PT11M16.00S,11:16,Q1 11:16,47.266666666666666,10,rebound,James REBOUND (Off:0 Def:1),[],James,0,0,,False,False,2544.0,,3pt missed,2pt missed,,,,200782|201566|201569|201935|201980|202693|203076|203484|203496|2544,201980|202693|203076|203484|2544,200782|201566|201569|201935|203496,,,1610612747.0,41900224,True
1,PT10M56.00S,10:56,Q1 10:56,46.93333333333334,11,2pt,MISS Davis 21' Turnaround Fadeaway Shot,[],Davis,0,0,Missed,True,False,203076.0,,rebound,rebound,,,,200782|201566|201569|201935|201980|202693|203076|203484|203496|2544,201980|202693|203076|203484|2544,200782|201566|201569|201935|203496,177.0,106.0,1610612747.0,41900224,True
1,PT10M53.00S,10:53,Q1 10:53,46.88333333333333,12,rebound,Tucker REBOUND (Off:0 Def:1),[],Tucker,0,0,,False,False,200782.0,,2pt missed,turnover,,,,200782|201566|201569|201935|201980|202693|203076|203484|203496|2544,200782|201566|201569|201935|203496,201980|202693|203076|203484|2544,,,1610612745.0,41900224,True
1,PT10M40.00S,10:40,Q1 10:40,46.666666666666664,13,turnover,Harden Bad Pass Turnover (P1.T1),[],Harden,0,0,,False,False,201935.0,,rebound,steal,,,,200782|201566|201569|201935|201980|202693|203076|203484|203496|2544,200782|201566|201569|201935|203496,201980|202693|203076|203484|2544,,,1610612745.0,41900224,True
1,PT10M40.00S,10:40,Q1 10:40,46.666666666666664,13,steal,James STEAL (1 STL),[],James,0,0,,False,False,2544.0,,turnover,2pt made,,2544.0,,200782|201566|201569|201935|201980|202693|203076|203484|203496|2544,201980|202693|203076|203484|2544,200782|201566|201569|201935|203496,,,1610612747.0,41900224,True
1,PT10M37.00S,10:37,Q1 10:37,46.61666666666667,15,2pt,Green 2' Running Layup (2 PTS) (James 1 AST),['pointsinthepaint'],Green,0,2,Made,True,True,201980.0,2544.0,steal,turnover,,,,200782|201566|201569|201935|201980|202693|203076|203484|203496|2544,201980|202693|203076|203484|2544,200782|201566|201569|201935|203496,19.0,0.0,1610612747.0,41900224,True
1,PT10M18.00S,10:18,Q1 10:18,46.3,17,turnover,Covington Bad Pass Turnover (P1.T2),[],Covington,0,2,,False,False,203496.0,,2pt made,steal,,,,200782|201566|201569|201935|201980|202693|203076|203484|203496|2544,200782|201566|201569|201935|203496,201980|202693|203076|203484|2544,,,1610612745.0,41900224,True
1,PT10M18.00S,10:18,Q1 10:18,46.3,17,steal,Green STEAL (1 STL),[],Green,0,2,,False,False,201980.0,,turnover,2pt missed,,201980.0,,200782|201566|201569|201935|201980|202693|203076|203484|203496|2544,201980|202693|203076|203484|2544,200782|201566|201569|201935|203496,,,1610612747.0,41900224,True
1,PT10M07.00S,10:07,Q1 10:07,46.11666666666667,19,2pt,MISS Green 21' Step Back Jump Shot,[],Green,0,2,Missed,True,False,201980.0,,steal,rebound,,,,200782|201566|201569|201935|201980|202693|203076|203484|203496|2544,201980|202693|203076|203484|2544,200782|201566|201569|201935|203496,-206.0,-21.0,1610612747.0,41900224,True
