period,clock,clock_display,game_clock,minutes_left_in_game,actionNumber,actionType,description,qualifier,playerName,scoreHome,scoreAway,shotResult,isFieldGoal,assisted,person_id,assister_id,previous_action,next_action,foulDrawnPersonId,stealPersonId,blockPersonId,players_on,off_players_on,def_players_on,xLegacy,yLegacy,teamId,game_id
1,PT11M45.00S,11:45,Q1 11:45,46.25,7,foul,C. Murray-Boyles shooting personal FOUL (1 PF) (Wembanyama 2 FT),['2freethrow'],Murray-Boyles,0,0,,False,False,1642867,,,freethrow,1641705.0,,,1627742|1628368|1629628|1630170|1630193|1630567|1630577|1641705|1642264|1642867,1627742|1629628|1630193|1630567|1642867,1628368|1630170|1630577|1641705|1642264,,,1610612761.0,22500843
1,PT11M45.00S,11:45,Q1 11:45,46.25,9,freethrow,V. Wembanyama Free Throw 1 of 2 (1 PTS),[],Wembanyama,0,1,Made,False,False,1641705,,foul,freethrow,,,,1627742|1628368|1629628|1630170|1630193|1630567|1630577|1641705|1642264|1642867,1628368|1630170|1630577|1641705|1642264,1627742|1629628|1630193|1630567|1642867,,,1610612759.0,22500843
1,PT11M45.00S,11:45,Q1 11:45,46.25,10,freethrow,V. Wembanyama Free Throw 2 of 2 (2 PTS),[],Wembanyama,0,2,Made,False,False,1641705,,freethrow,turnover,,,,1627742|1628368|1629628|1630170|1630193|1630567|1630577|1641705|1642264|1642867,1628368|1630170|1630577|1641705|1642264,1627742|1629628|1630193|1630567|1642867,,,1610612759.0,22500843
1,PT11M33.00S,11:33,Q1 11:33,46.45,11,turnover,R. Barrett bad pass TURNOVER (1 TO),[],Barrett,0,2,,False,False,1629628,,freethrow,steal,,1642264.0,,1627742|1628368|1629628|1630170|1630193|1630567|1630577|1641705|1642264|1642867,1627742|1629628|1630193|1630567|1642867,1628368|1630170|1630577|1641705|1642264,,,1610612761.0,22500843
1,PT11M33.00S,11:33,Q1 11:33,46.45,12,steal,S. Castle STEAL (1 STL),[],Castle,0,2,,False,False,1642264,,turnover,2pt made,,,,1627742|1628368|1629628|1630170|1630193|1630567|1630577|1641705|1642264|1642867,1628368|1630170|1630577|1641705|1642264,1627742|1629628|1630193|1630567|1642867,,,1610612759.0,22500843
1,PT11M24.00S,11:24,Q1 11:24,46.6,13,2pt,D. Fox driving finger roll Layup (2 PTS),"['pointsinthepaint', 'fromturnover']",Fox,0,4,Made,True,False,1628368,,steal,3pt missed,,,,1627742|1628368|1629628|1630170|1630193|1630567|1630577|1641705|1642264|1642867,1628368|1630170|1630577|1641705|1642264,1627742|1629628|1630193|1630567|1642867,-6.0,6.0,1610612759.0,22500843
1,PT11M13.00S,11:13,Q1 11:13,46.78333333333333,14,3pt,MISS B. Ingram 26' 3PT,[],Ingram,0,4,Missed,True,False,1627742,,2pt made,rebound,,,,1627742|1628368|1629628|1630170|1630193|1630567|1630577|1641705|1642264|1642867,1627742|1629628|1630193|1630567|1642867,1628368|1630170|1630577|1641705|1642264,85.0,252.0,1610612761.0,22500843
1,PT11M11.00S,11:11,Q1 11:11,46.81666666666667,15,rebound,C. Murray-Boyles REBOUND (Off:1 Def:0),[],Murray-Boyles,0,4,,False,False,1642867,,3pt missed,3pt missed,,,,1627742|1628368|1629628|1630170|1630193|1630567|1630577|1641705|1642264|1642867,1627742|1629628|1630193|1630567|1642867,1628368|1630170|1630577|1641705|1642264,,,1610612761.0,22500843
1,PT11M09.00S,11:09,Q1 11:09,46.85,16,3pt,MISS R. Barrett 25' 3PT,['2ndchance'],Barrett,0,4,Missed,True,False,1629628,,rebound,rebound,,,,1627742|1628368|1629628|1630170|1630193|1630567|1630577|1641705|1642264|1642867,1627742|1629628|1630193|1630567|1642867,1628368|1630170|1630577|1641705|1642264,219.0,132.0,1610612761.0,22500843
1,PT11M05.00S,11:05,Q1 11:05,46.916666666666664,17,rebound,D. Fox REBOUND (Off:0 Def:1),[],Fox,0,4,,False,False,1628368,,3pt missed,2pt made,,,,1627742|1628368|1629628|1630170|1630193|1630567|1630577|1641705|1642264|1642867,1628368|1630170|1630577|1641705|1642264,1627742|1629628|1630193|1630567|1642867,,,1610612759.0,22500843
1,PT10M47.00S,10:47,Q1 10:47,45.21666666666667,18,2pt,D. Fox 9' turnaround fadeaway Jump Shot (4 PTS),['pointsinthepaint'],Fox,0,6,Made,True,False,1628368,,rebound,2pt made,,,,1627742|1628368|1629628|1630170|1630193|1630567|1630577|1641705|1642264|1642867,1628368|1630170|1630577|1641705|1642264,1627742|1629628|1630193|1630567|1642867,-39.0,92.0,1610612759.0,22500843
1,PT10M33.00S,10:33,Q1 10:33,45.45,19,2pt,S. Barnes 9' pullup Jump Shot (2 PTS) (C. Murray-Boyles 1 AST),['pointsinthepaint'],Barnes,2,6,Made,True,True,1630567,1642867.0,2pt made,3pt made,,,,1627742|1628368|1629628|1630170|1630193|1630567|1630577|1641705|1642264|1642867,1627742|1629628|1630193|1630567|1642867,1628368|1630170|1630577|1641705|1642264,33.0,89.0,1610612761.0,22500843
1,PT10M13.00S,10:13,Q1 10:13,45.78333333333333,21,3pt,D. Vassell 25' 3PT  (3 PTS) (J. Champagnie 1 AST),[],Vassell,2,9,Made,True,True,1630170,1630577.0,2pt made,turnover,,,,1627742|1628368|1629628|1630170|1630193|1630567|1630577|1641705|1642264|1642867,1628368|1630170|1630577|1641705|1642264,1627742|1629628|1630193|1630567|1642867,152.0,199.0,1610612759.0,22500843
1,PT09M52.00S,09:52,Q1 09:52,44.13333333333333,23,turnover,B. Ingram bad pass TURNOVER (1 TO),[],Ingram,2,9,,False,False,1627742,,3pt made,steal,,1630170.0,,1627742|1628368|1629628|1630170|1630193|1630567|1630577|1641705|1642264|1642867,1627742|1629628|1630193|1630567|1642867,1628368|1630170|1630577|1641705|1642264,,,1610612761.0,22500843
1,PT09M52.00S,09:52,Q1 09:52,44.13333333333333,24,steal,D. Vassell STEAL (1 STL),[],Vassell,2,9,,False,False,1630170,,turnover,2pt missed,,,,1627742|1628368|1629628|1630170|1630193|1630567|1630577|1641705|1642264|1642867,1628368|1630170|1630577|1641705|1642264,1627742|1629628|1630193|1630567|1642867,,,1610612759.0,22500843
1,PT09M47.00S,09:47,Q1 09:47,44.21666666666667,25,2pt,MISS D. Vassell running finger roll Layup - blocked,"['pointsinthepaint', 'fromturnover', 'fastbreak']",Vassell,2,9,Missed,True,False,1630170,,steal,block,,,1630567.0,1627742|1628368|1629628|1630170|1630193|1630567|1630577|1641705|1642264|1642867,1628368|1630170|1630577|1641705|1642264,1627742|1629628|1630193|1630567|1642867,18.0,9.0,1610612759.0,22500843
1,PT09M47.00S,09:47,Q1 09:47,44.21666666666667,26,block,S. Barnes BLOCK (1 BLK),[],Barnes,2,9,,False,False,1630567,,2pt missed,rebound,,,,1627742|1628368|1629628|1630170|1630193|1630567|1630577|1641705|1642264|1642867,1627742|1629628|1630193|1630567|1642867,1628368|1630170|1630577|1641705|1642264,,,1610612761.0,22500843
1,PT09M44.00S,09:44,Q1 09:44,44.266666666666666,27,rebound,S. Castle REBOUND (Off:1 Def:0),[],Castle,2,9,,False,False,1642264,,block,turnover,,,,1627742|1628368|1629628|1630170|1630193|1630567|1630577|1641705|1642264|1642867,1628368|1630170|1630577|1641705|1642264,1627742|1629628|1630193|1630567|1642867,,,1610612759.0,22500843
1,PT09M42.00S,09:42,Q1 09:42,44.3,28,turnover,S. Castle lost ball out-of-bounds TURNOVER (1 TO),[],Castle,2,9,,False,False,1642264,,rebound,3pt made,,,,1627742|1628368|1629628|1630170|1630193|1630567|1630577|1641705|1642264|1642867,1628368|1630170|1630577|1641705|1642264,1627742|1629628|1630193|1630567|1642867,,,1610612759.0,22500843
1,PT09M28.00S,09:28,Q1 09:28,44.53333333333333,29,3pt,S. Barnes 3PT  (5 PTS) (B. Ingram 1 AST),['fromturnover'],Barnes,5,9,Made,True,True,1630567,1627742.0,turnover,2pt missed,,,,1627742|1628368|1629628|1630170|1630193|1630567|1630577|1641705|1642264|1642867,1627742|1629628|1630193|1630567|1642867,1628368|1630170|1630577|1641705|1642264,-237.0,-6.0,1610612761.0,22500843
1,PT09M11.00S,09:11,Q1 09:11,44.81666666666667,31,2pt,MISS S. Castle 9' fadeaway Shot,[],Castle,5,9,Missed,True,False,1642264,,3pt made,rebound,,,,1627742|1628368|1629628|1630170|1630193|1630567|1630577|1641705|1642264|1642867,1628368|1630170|1630577|1641705|1642264,1627742|1629628|1630193|1630567|1642867,-97.0,14.0,1610612759.0,22500843
1,PT09M08.00S,09:08,Q1 09:08,44.86666666666667,32,rebound,C. Murray-Boyles REBOUND (Off:1 Def:1),[],Murray-Boyles,5,9,,False,False,1642867,,2pt missed,2pt missed,,,,1627742|1628368|1629628|1630170|1630193|1630567|1630577|1641705|1642264|1642867,1627742|1629628|1630193|1630567|1642867,1628368|1630170|1630577|1641705|1642264,,,1610612761.0,22500843
1,PT08M56.00S,08:56,Q1 08:56,43.06666666666667,33,2pt,MISS S. Barnes driving DUNK - blocked,['pointsinthepaint'],Barnes,5,9,Missed,True,False,1630567,,rebound,block,,,1641705.0,1627742|1628368|1629628|1630170|1630193|1630567|1630577|1641705|1642264|1642867,1627742|1629628|1630193|1630567|1642867,1628368|1630170|1630577|1641705|1642264,-1.0,22.0,1610612761.0,22500843
1,PT08M56.00S,08:56,Q1 08:56,43.06666666666667,34,block,V. Wembanyama BLOCK (1 BLK),[],Wembanyama,5,9,,False,False,1641705,,2pt missed,rebound,,,,1627742|1628368|1629628|1630170|1630193|1630567|1630577|1641705|1642264|1642867,1628368|1630170|1630577|1641705|1642264,1627742|1629628|1630193|1630567|1642867,,,1610612759.0,22500843
