period,clock,clock_display,game_clock,minutes_left_in_game,actionNumber,actionType,description,qualifier,playerName,scoreHome,scoreAway,shotResult,isFieldGoal,assisted,person_id,assister_id,previous_action,next_action,foulDrawnPersonId,stealPersonId,blockPersonId,players_on,off_players_on,def_players_on,xLegacy,yLegacy,teamId,game_id,poc_ok
1,PT12M00.00S,12:00,Q1 12:00,48.0,2,period,Start of 1st Period (7:11 PM EST),[],,0,0,,False,False,0.0,,,2pt missed,,,,1626161|1627741|1628368|1628390|201566|202331|202335|202357|202697|203500,1628390|201566|202331|202335|203500,1626161|1627741|1628368|202357|202697,,,1610612760.0,21800037,True
1,PT11M44.00S,11:44,Q1 11:44,47.733333333333334,7,2pt,MISS Cauley-Stein 2' Driving Layup,['pointsinthepaint'],Cauley-Stein,0,0,Missed,True,False,1626161.0,,period,rebound,,,,1626161|1627741|1628368|1628390|201566|202331|202335|202357|202697|203500,1626161|1627741|1628368|202357|202697,1628390|201566|202331|202335|203500,-18.0,15.0,1610612758.0,21800037,True
1,PT11M42.00S,11:42,Q1 11:42,47.7,8,rebound,Westbrook REBOUND (Off:0 Def:1),[],Westbrook,0,0,,False,False,201566.0,,2pt missed,3pt made,,,,1626161|1627741|1628368|1628390|201566|202331|202335|202357|202697|203500,1628390|201566|202331|202335|203500,1626161|1627741|1628368|202357|202697,,,1610612760.0,21800037,True
1,PT11M28.00S,11:28,Q1 11:28,47.46666666666667,9,3pt,George 25' 3PT Jump Shot (3 PTS) (Westbrook 1 AST),[],George,3,0,Made,True,True,202331.0,201566.0,rebound,3pt made,,,,1626161|1627741|1628368|1628390|201566|202331|202335|202357|202697|203500,1628390|201566|202331|202335|203500,1626161|1627741|1628368|202357|202697,134.0,215.0,1610612760.0,21800037,True
1,PT11M12.00S,11:12,Q1 11:12,47.2,11,3pt,Shumpert 25' 3PT Jump Shot (3 PTS) (Fox 1 AST),[],Shumpert,3,3,Made,True,True,202697.0,1628368.0,3pt made,3pt missed,,,,1626161|1627741|1628368|1628390|201566|202331|202335|202357|202697|203500,1626161|1627741|1628368|202357|202697,1628390|201566|202331|202335|203500,193.0,154.0,1610612758.0,21800037,True
1,PT11M01.00S,11:01,Q1 11:01,47.016666666666666,13,3pt,MISS Patterson 25' 3PT Jump Shot,[],Patterson,3,3,Missed,True,False,202335.0,,3pt made,rebound,,,,1626161|1627741|1628368|1628390|201566|202331|202335|202357|202697|203500,1628390|201566|202331|202335|203500,1626161|1627741|1628368|202357|202697,-90.0,236.0,1610612760.0,21800037,True
1,PT10M58.00S,10:58,Q1 10:58,46.96666666666667,14,rebound,Hield REBOUND (Off:0 Def:1),[],Hield,3,3,,False,False,1627741.0,,3pt missed,2pt made,,,,1626161|1627741|1628368|1628390|201566|202331|202335|202357|202697|203500,1626161|1627741|1628368|202357|202697,1628390|201566|202331|202335|203500,,,1610612758.0,21800037,True
1,PT10M56.00S,10:56,Q1 10:56,46.93333333333334,15,2pt,Hield 2' Driving Layup (2 PTS),['pointsinthepaint'],Hield,3,5,Made,True,False,1627741.0,,rebound,foul,,,,1626161|1627741|1628368|1628390|201566|202331|202335|202357|202697|203500,1626161|1627741|1628368|202357|202697,1628390|201566|202331|202335|203500,11.0,11.0,1610612758.0,21800037,True
1,PT10M56.00S,10:56,Q1 10:56,46.93333333333334,16,foul,George S.FOUL (P1.T1) (M.Smith),[],George,3,5,,False,False,202331.0,,2pt made,freethrow,1627741.0,,,1626161|1627741|1628368|1628390|201566|202331|202335|202357|202697|203500,1628390|201566|202331|202335|203500,1626161|1627741|1628368|202357|202697,,,1610612760.0,21800037,True
1,PT10M56.00S,10:56,Q1 10:56,46.93333333333334,18,freethrow,Hield Free Throw 1 of 1 (3 PTS),[],Hield,3,6,Made,False,False,1627741.0,,foul,2pt made,,,,1626161|1627741|1628368|1628390|201566|202331|202335|202357|202697|203500,1626161|1627741|1628368|202357|202697,1628390|201566|202331|202335|203500,,,1610612758.0,21800037,True
