period,clock,clock_display,game_clock,minutes_left_in_game,actionNumber,actionType,description,qualifier,playerName,scoreHome,scoreAway,shotResult,isFieldGoal,assisted,person_id,assister_id,previous_action,next_action,foulDrawnPersonId,stealPersonId,blockPersonId,players_on,off_players_on,def_players_on,xLegacy,yLegacy,teamId,game_id,poc_ok
1,PT12M00.00S,12:00,Q1 12:00,48.0,2,period,Start of 1st Period (1:11 PM EST),[],,0,0,,False,False,0.0,,,2pt missed,,,,1627759|1628369|201143|202681|202687|202694|203095|203613|203901|203932,1627759|1628369|201143|202681|202694,202687|203095|203613|203901|203932,,,1610612738.0,21700683,True
1,PT11M37.00S,11:37,Q1 11:37,47.61666666666667,7,2pt,MISS Irving 16' Turnaround Fadeaway Shot,[],Irving,0,0,Missed,True,False,202681.0,,period,rebound,,,,1627759|1628369|201143|202681|202687|202694|203095|203613|203901|203932,1627759|1628369|201143|202681|202694,202687|203095|203613|203901|203932,-132.0,84.0,1610612738.0,21700683,True
1,PT11M35.00S,11:35,Q1 11:35,47.583333333333336,8,rebound,Gordon REBOUND (Off:0 Def:1),[],Gordon,0,0,,False,False,203932.0,,2pt missed,3pt made,,,,1627759|1628369|201143|202681|202687|202694|203095|203613|203901|203932,202687|203095|203613|203901|203932,1627759|1628369|201143|202681|202694,,,1610612753.0,21700683,True
1,PT11M19.00S,11:19,Q1 11:19,47.31666666666666,9,3pt,Fournier 26' 3PT Jump Shot (3 PTS),[],Fournier,0,3,Made,True,False,203095.0,,rebound,2pt made,,,,1627759|1628369|201143|202681|202687|202694|203095|203613|203901|203932,202687|203095|203613|203901|203932,1627759|1628369|201143|202681|202694,-120.0,226.0,1610612753.0,21700683,True
1,PT11M04.00S,11:04,Q1 11:04,47.06666666666666,10,2pt,Irving Driving Finger Roll Layup (2 PTS),['pointsinthepaint'],Irving,2,3,Made,True,False,202681.0,,3pt made,2pt made,,,,1627759|1628369|201143|202681|202687|202694|203095|203613|203901|203932,1627759|1628369|201143|202681|202694,202687|203095|203613|203901|203932,2.0,4.0,1610612738.0,21700683,True
1,PT10M58.00S,10:58,Q1 10:58,46.96666666666667,11,2pt,Payton 1' Running Layup (2 PTS),['pointsinthepaint'],Payton,2,5,Made,True,False,203901.0,,2pt made,2pt made,,,,1627759|1628369|201143|202681|202687|202694|203095|203613|203901|203932,202687|203095|203613|203901|203932,1627759|1628369|201143|202681|202694,-9.0,9.0,1610612753.0,21700683,True
1,PT10M44.00S,10:44,Q1 10:44,46.733333333333334,12,2pt,Morris Sr. 2' Cutting Layup Shot (2 PTS) (Horford 1 AST),['pointsinthepaint'],Morris Sr.,4,5,Made,True,True,202694.0,201143.0,2pt made,2pt missed,,,,1627759|1628369|201143|202681|202687|202694|203095|203613|203901|203932,1627759|1628369|201143|202681|202694,202687|203095|203613|203901|203932,-2.0,18.0,1610612738.0,21700683,True
1,PT10M29.00S,10:29,Q1 10:29,46.483333333333334,14,2pt,MISS Gordon 11' Fadeaway Jumper,[],Gordon,4,5,Missed,True,False,203932.0,,2pt made,rebound,,,,1627759|1628369|201143|202681|202687|202694|203095|203613|203901|203932,202687|203095|203613|203901|203932,1627759|1628369|201143|202681|202694,92.0,59.0,1610612753.0,21700683,True
1,PT10M27.00S,10:27,Q1 10:27,46.45,15,rebound,Irving REBOUND (Off:0 Def:1),[],Irving,4,5,,False,False,202681.0,,2pt missed,2pt missed,,,,1627759|1628369|201143|202681|202687|202694|203095|203613|203901|203932,1627759|1628369|201143|202681|202694,202687|203095|203613|203901|203932,,,1610612738.0,21700683,True
1,PT10M14.00S,10:14,Q1 10:14,46.233333333333334,16,2pt,MISS Morris Sr. 4' Turnaround Jump Shot,['pointsinthepaint'],Morris Sr.,4,5,Missed,True,False,202694.0,,rebound,rebound,,,,1627759|1628369|201143|202681|202687|202694|203095|203613|203901|203932,1627759|1628369|201143|202681|202694,202687|203095|203613|203901|203932,-30.0,27.0,1610612738.0,21700683,True
1,PT10M12.00S,10:12,Q1 10:12,46.2,17,rebound,Gordon REBOUND (Off:0 Def:2),[],Gordon,4,5,,False,False,203932.0,,2pt missed,foul,,,,1627759|1628369|201143|202681|202687|202694|203095|203613|203901|203932,202687|203095|203613|203901|203932,1627759|1628369|201143|202681|202694,,,1610612753.0,21700683,True
1,PT10M02.00S,10:02,Q1 10:02,46.03333333333333,18,foul,Morris Sr. S.FOUL (P1.T1) (P.Fraher),[],Morris Sr.,4,5,,False,False,202694.0,,rebound,freethrow,202687.0,,,1627759|1628369|201143|202681|202687|202694|203095|203613|203901|203932,1627759|1628369|201143|202681|202694,202687|203095|203613|203901|203932,,,1610612738.0,21700683,True
1,PT10M02.00S,10:02,Q1 10:02,46.03333333333333,20,freethrow,Biyombo Free Throw 1 of 2 (1 PTS),[],Biyombo,4,6,Made,False,False,202687.0,,foul,freethrow,,,,1627759|1628369|201143|202681|202687|202694|203095|203613|203901|203932,202687|203095|203613|203901|203932,1627759|1628369|201143|202681|202694,,,1610612753.0,21700683,True
1,PT10M02.00S,10:02,Q1 10:02,46.03333333333333,21,freethrow,Biyombo Free Throw 2 of 2 (2 PTS),[],Biyombo,4,7,Made,False,False,202687.0,,freethrow,2pt missed,,,,1627759|1628369|201143|202681|202687|202694|203095|203613|203901|203932,202687|203095|203613|203901|203932,1627759|1628369|201143|202681|202694,,,1610612753.0,21700683,True
1,PT09M54.00S,09:54,Q1 09:54,45.9,22,2pt,MISS Morris Sr. 2' Driving Layup,['pointsinthepaint'],Morris Sr.,4,7,Missed,True,False,202694.0,,freethrow,block,,,,1627759|1628369|201143|202681|202687|202694|203095|203613|203901|203932,1627759|1628369|201143|202681|202694,202687|203095|203613|203901|203932,14.0,10.0,1610612738.0,21700683,True
