period,clock,clock_display,game_clock,minutes_left_in_game,actionNumber,actionType,description,qualifier,playerName,scoreHome,scoreAway,shotResult,isFieldGoal,assisted,person_id,assister_id,previous_action,next_action,foulDrawnPersonId,stealPersonId,blockPersonId,players_on,off_players_on,def_players_on,xLegacy,yLegacy,teamId,game_id,poc_ok
1,PT12M00.00S,12:00,Q1 12:00,48.0,2,period,Start of 1st Period (8:11 PM EST),[],,0,0,,False,False,0.0,,,2pt made,,,,1626167|1628369|1628464|201143|201152|201954|202362|202681|202711|203935,1626167|201152|201954|202362|202711,1628369|1628464|201143|202681|203935,,,1610612754.0,21700281,True
1,PT11M42.00S,11:42,Q1 11:42,47.7,7,2pt,Turner 20' Jump Shot (2 PTS) (Collison 1 AST),[],Turner,2,0,Made,True,True,1626167.0,201954.0,period,2pt missed,,,,1626167|1628369|1628464|201143|201152|201954|202362|202681|202711|203935,1626167|201152|201954|202362|202711,1628369|1628464|201143|202681|203935,-6.0,204.0,1610612754.0,21700281,True
1,PT11M21.00S,11:21,Q1 11:21,47.35,9,2pt,MISS Theis 7' Floating Jump Shot,['pointsinthepaint'],Theis,2,0,Missed,True,False,1628464.0,,2pt made,rebound,,,,1626167|1628369|1628464|201143|201152|201954|202362|202681|202711|203935,1628369|1628464|201143|202681|203935,1626167|201152|201954|202362|202711,-46.0,47.0,1610612738.0,21700281,True
1,PT11M18.00S,11:18,Q1 11:18,47.3,10,rebound,Bogdanovic REBOUND (Off:0 Def:1),[],Bogdanovic,2,0,,False,False,202711.0,,2pt missed,turnover,,,,1626167|1628369|1628464|201143|201152|201954|202362|202681|202711|203935,1626167|201152|201954|202362|202711,1628369|1628464|201143|202681|203935,,,1610612754.0,21700281,True
1,PT11M12.00S,11:12,Q1 11:12,47.2,11,turnover,T. Young Bad Pass Turnover (P1.T1),[],Young,2,0,,False,False,201152.0,,rebound,steal,,,,1626167|1628369|1628464|201143|201152|201954|202362|202681|202711|203935,1626167|201152|201954|202362|202711,1628369|1628464|201143|202681|203935,,,1610612754.0,21700281,True
1,PT11M12.00S,11:12,Q1 11:12,47.2,11,steal,Theis STEAL (1 STL),[],Theis,2,0,,False,False,1628464.0,,turnover,2pt missed,,1628464.0,,1626167|1628369|1628464|201143|201152|201954|202362|202681|202711|203935,1628369|1628464|201143|202681|203935,1626167|201152|201954|202362|202711,,,1610612738.0,21700281,True
1,PT11M01.00S,11:01,Q1 11:01,47.016666666666666,13,2pt,MISS Irving 19' Pullup Jump Shot,[],Irving,2,0,Missed,True,False,202681.0,,steal,rebound,,,,1626167|1628369|1628464|201143|201152|201954|202362|202681|202711|203935,1628369|1628464|201143|202681|203935,1626167|201152|201954|202362|202711,-112.0,152.0,1610612738.0,21700281,True
1,PT10M57.00S,10:57,Q1 10:57,46.95,14,rebound,Stephenson REBOUND (Off:0 Def:1),[],Stephenson,2,0,,False,False,202362.0,,2pt missed,foul,,,,1626167|1628369|1628464|201143|201152|201954|202362|202681|202711|203935,1626167|201152|201954|202362|202711,1628369|1628464|201143|202681|203935,,,1610612754.0,21700281,True
1,PT10M46.00S,10:46,Q1 10:46,46.766666666666666,15,foul,Tatum S.FOUL (P1.T1) (K.Lane),[],Tatum,2,0,,False,False,1628369.0,,rebound,freethrow,202362.0,,,1626167|1628369|1628464|201143|201152|201954|202362|202681|202711|203935,1628369|1628464|201143|202681|203935,1626167|201152|201954|202362|202711,,,1610612738.0,21700281,True
1,PT10M46.00S,10:46,Q1 10:46,46.766666666666666,17,freethrow,Stephenson Free Throw 1 of 2 (1 PTS),[],Stephenson,3,0,Made,False,False,202362.0,,foul,freethrow,,,,1626167|1628369|1628464|201143|201152|201954|202362|202681|202711|203935,1626167|201152|201954|202362|202711,1628369|1628464|201143|202681|203935,,,1610612754.0,21700281,True
