period,clock,clock_display,game_clock,minutes_left_in_game,actionNumber,actionType,description,qualifier,playerName,scoreHome,scoreAway,shotResult,isFieldGoal,assisted,person_id,assister_id,previous_action,next_action,foulDrawnPersonId,stealPersonId,blockPersonId,players_on,off_players_on,def_players_on,xLegacy,yLegacy,teamId,game_id
1,PT11M41.00S,11:41,Q1 11:41,46.31666666666667,7,3pt,MISS D. Jones Jr. 25' 3PT,[],Jones Jr.,0,0,Missed,True,False,1627884,,,rebound,,,,1627739|1627783|1627884|1629614|1630174|1630643|1641716|1642920|201572|202695,1627739|1627884|1642920|201572|202695,1627783|1629614|1630174|1630643|1641716,-152.0,200.0,1610612746.0,22500898
1,PT11M37.00S,11:37,Q1 11:37,46.38333333333333,8,rebound,A. Nesmith REBOUND (Off:0 Def:1),[],Nesmith,0,0,,False,False,1630174,,3pt missed,2pt made,,,,1627739|1627783|1627884|1629614|1630174|1630643|1641716|1642920|201572|202695,1627783|1629614|1630174|1630643|1641716,1627739|1627884|1642920|201572|202695,,,1610612754.0,22500898
1,PT11M27.00S,11:27,Q1 11:27,46.55,9,2pt,J. Huff driving DUNK (2 PTS) (A. Nembhard 1 AST),['pointsinthepaint'],Huff,0,2,Made,True,True,1630643,1629614.0,rebound,2pt missed,,,,1627739|1627783|1627884|1629614|1630174|1630643|1641716|1642920|201572|202695,1627783|1629614|1630174|1630643|1641716,1627739|1627884|1642920|201572|202695,25.0,21.0,1610612754.0,22500898
1,PT11M13.00S,11:13,Q1 11:13,46.78333333333333,11,2pt,MISS B. Lopez Layup - blocked,['pointsinthepaint'],Lopez,0,2,Missed,True,False,201572,,2pt made,block,,,1630643.0,1627739|1627783|1627884|1629614|1630174|1630643|1641716|1642920|201572|202695,1627739|1627884|1642920|201572|202695,1627783|1629614|1630174|1630643|1641716,2.0,25.0,1610612746.0,22500898
1,PT11M13.00S,11:13,Q1 11:13,46.78333333333333,12,block,J. Huff BLOCK (1 BLK),[],Huff,0,2,,False,False,1630643,,2pt missed,rebound,,,,1627739|1627783|1627884|1629614|1630174|1630643|1641716|1642920|201572|202695,1627783|1629614|1630174|1630643|1641716,1627739|1627884|1642920|201572|202695,,,1610612754.0,22500898
1,PT11M11.00S,11:11,Q1 11:11,46.81666666666667,13,rebound,B. Lopez REBOUND (Off:1 Def:0),[],Lopez,0,2,,False,False,201572,,block,2pt made,,,,1627739|1627783|1627884|1629614|1630174|1630643|1641716|1642920|201572|202695,1627739|1627884|1642920|201572|202695,1627783|1629614|1630174|1630643|1641716,,,1610612746.0,22500898
1,PT11M10.00S,11:10,Q1 11:10,46.833333333333336,15,2pt,B. Lopez putback Layup (2 PTS),"['pointsinthepaint', '2ndchance']",Lopez,2,2,Made,True,False,201572,,rebound,2pt made,,,,1627739|1627783|1627884|1629614|1630174|1630643|1641716|1642920|201572|202695,1627739|1627884|1642920|201572|202695,1627783|1629614|1630174|1630643|1641716,1.0,21.0,1610612746.0,22500898
1,PT10M54.00S,10:54,Q1 10:54,45.1,16,2pt,P. Siakam driving Layup (2 PTS) (A. Nembhard 2 AST),['pointsinthepaint'],Siakam,2,4,Made,True,True,1627783,1629614.0,2pt made,3pt made,,,,1627739|1627783|1627884|1629614|1630174|1630643|1641716|1642920|201572|202695,1627783|1629614|1630174|1630643|1641716,1627739|1627884|1642920|201572|202695,15.0,17.0,1610612754.0,22500898
1,PT10M37.00S,10:37,Q1 10:37,45.38333333333333,18,3pt,K. Leonard 27' 3PT pullup (3 PTS),[],Leonard,5,4,Made,True,False,202695,,2pt made,2pt made,,,,1627739|1627783|1627884|1629614|1630174|1630643|1641716|1642920|201572|202695,1627739|1627884|1642920|201572|202695,1627783|1629614|1630174|1630643|1641716,-43.0,270.0,1610612746.0,22500898
1,PT10M16.00S,10:16,Q1 10:16,45.733333333333334,19,2pt,J. Walker driving finger roll Layup (2 PTS),['pointsinthepaint'],Walker,5,6,Made,True,False,1641716,,3pt made,foul,,,,1627739|1627783|1627884|1629614|1630174|1630643|1641716|1642920|201572|202695,1627783|1629614|1630174|1630643|1641716,1627739|1627884|1642920|201572|202695,13.0,35.0,1610612754.0,22500898
1,PT10M02.00S,10:02,Q1 10:02,45.96666666666667,21,foul,J. Walker personal FOUL (1 PF),[],Walker,5,6,,False,False,1641716,,2pt made,3pt made,1642920.0,,,1627739|1627783|1627884|1629614|1630174|1630643|1641716|1642920|201572|202695,1627783|1629614|1630174|1630643|1641716,1627739|1627884|1642920|201572|202695,,,1610612754.0,22500898
1,PT09M53.00S,09:53,Q1 09:53,44.11666666666667,23,3pt,K. Sanders 26' 3PT  (3 PTS) (K. Dunn 1 AST),[],Sanders,8,6,Made,True,True,1642920,1627739.0,foul,turnover,,,,1627739|1627783|1627884|1629614|1630174|1630643|1641716|1642920|201572|202695,1627739|1627884|1642920|201572|202695,1627783|1629614|1630174|1630643|1641716,-194.0,184.0,1610612746.0,22500898
1,PT09M41.00S,09:41,Q1 09:41,44.31666666666667,25,turnover,A. Nembhard lost ball TURNOVER (1 TO),[],Nembhard,8,6,,False,False,1629614,,3pt made,steal,,1627739.0,,1627739|1627783|1627884|1629614|1630174|1630643|1641716|1642920|201572|202695,1627783|1629614|1630174|1630643|1641716,1627739|1627884|1642920|201572|202695,,,1610612754.0,22500898
1,PT09M41.00S,09:41,Q1 09:41,44.31666666666667,26,steal,K. Dunn STEAL (1 STL),[],Dunn,8,6,,False,False,1627739,,turnover,2pt made,,,,1627739|1627783|1627884|1629614|1630174|1630643|1641716|1642920|201572|202695,1627739|1627884|1642920|201572|202695,1627783|1629614|1630174|1630643|1641716,,,1610612746.0,22500898
