period,clock,clock_display,game_clock,minutes_left_in_game,actionNumber,actionType,description,qualifier,playerName,scoreHome,scoreAway,shotResult,isFieldGoal,assisted,person_id,assister_id,previous_action,next_action,foulDrawnPersonId,stealPersonId,blockPersonId,players_on,off_players_on,def_players_on,xLegacy,yLegacy,teamId,game_id,poc_ok
1,PT12M00.00S,12:00,Q1 12:00,48.0,2,period,Start of 1st Period (7:12 PM EST),[],,0,0,,False,False,0.0,,,2pt missed,,,,1626169|1627732|200755|201573|202340|202699|202704|203083|203496|203954,1626169|202340|202699|202704|203083,1627732|200755|201573|203496|203954,,,1610612765.0,21700041,True
1,PT11M31.00S,11:31,Q1 11:31,47.516666666666666,7,2pt,MISS Simmons 11' Jump Shot,[],Simmons,0,0,Missed,True,False,1627732.0,,period,rebound,,,,1626169|1627732|200755|201573|202340|202699|202704|203083|203496|203954,1627732|200755|201573|203496|203954,1626169|202340|202699|202704|203083,-92.0,58.0,1610612755.0,21700041,True
1,PT11M29.00S,11:29,Q1 11:29,47.483333333333334,8,rebound,Simmons REBOUND (Off:1 Def:0),[],Simmons,0,0,,False,False,1627732.0,,2pt missed,2pt made,,,,1626169|1627732|200755|201573|202340|202699|202704|203083|203496|203954,1627732|200755|201573|203496|203954,1626169|202340|202699|202704|203083,,,1610612755.0,21700041,True
1,PT11M28.00S,11:28,Q1 11:28,47.46666666666667,9,2pt,Embiid 1' Layup (2 PTS) (Simmons 1 AST),['pointsinthepaint'],Embiid,0,2,Made,True,True,203954.0,1627732.0,rebound,3pt missed,,,,1626169|1627732|200755|201573|202340|202699|202704|203083|203496|203954,1627732|200755|201573|203496|203954,1626169|202340|202699|202704|203083,5.0,6.0,1610612755.0,21700041,True
1,PT11M07.00S,11:07,Q1 11:07,47.11666666666667,12,3pt,MISS Harris 27' 3PT Jump Shot,[],Harris,0,2,Missed,True,False,202699.0,,2pt made,rebound,,,,1626169|1627732|200755|201573|202340|202699|202704|203083|203496|203954,1626169|202340|202699|202704|203083,1627732|200755|201573|203496|203954,154.0,216.0,1610612765.0,21700041,True
1,PT11M03.00S,11:03,Q1 11:03,47.05,13,rebound,Simmons REBOUND (Off:1 Def:1),[],Simmons,0,2,,False,False,1627732.0,,3pt missed,2pt missed,,,,1626169|1627732|200755|201573|202340|202699|202704|203083|203496|203954,1627732|200755|201573|203496|203954,1626169|202340|202699|202704|203083,,,1610612755.0,21700041,True
1,PT10M56.00S,10:56,Q1 10:56,46.93333333333334,14,2pt,MISS Bayless 10' Floating Jump Shot,['pointsinthepaint'],Bayless,0,2,Missed,True,False,201573.0,,rebound,rebound,,,,1626169|1627732|200755|201573|202340|202699|202704|203083|203496|203954,1627732|200755|201573|203496|203954,1626169|202340|202699|202704|203083,73.0,73.0,1610612755.0,21700041,True
1,PT10M53.00S,10:53,Q1 10:53,46.88333333333333,15,rebound,Drummond REBOUND (Off:0 Def:1),[],Drummond,0,2,,False,False,203083.0,,2pt missed,2pt missed,,,,1626169|1627732|200755|201573|202340|202699|202704|203083|203496|203954,1626169|202340|202699|202704|203083,1627732|200755|201573|203496|203954,,,1610612765.0,21700041,True
1,PT10M43.00S,10:43,Q1 10:43,46.71666666666667,16,2pt,MISS Harris 4' Layup,['pointsinthepaint'],Harris,0,2,Missed,True,False,202699.0,,rebound,rebound,,,,1626169|1627732|200755|201573|202340|202699|202704|203083|203496|203954,1626169|202340|202699|202704|203083,1627732|200755|201573|203496|203954,24.0,27.0,1610612765.0,21700041,True
1,PT10M35.00S,10:35,Q1 10:35,46.583333333333336,17,rebound,Drummond REBOUND (Off:1 Def:1),[],Drummond,0,2,,False,False,203083.0,,2pt missed,2pt missed,,,,1626169|1627732|200755|201573|202340|202699|202704|203083|203496|203954,1626169|202340|202699|202704|203083,1627732|200755|201573|203496|203954,,,1610612765.0,21700041,True
1,PT10M35.00S,10:35,Q1 10:35,46.583333333333336,18,2pt,MISS Drummond 1' Tip Layup Shot,['pointsinthepaint'],Drummond,0,2,Missed,True,False,203083.0,,rebound,rebound,,,,1626169|1627732|200755|201573|202340|202699|202704|203083|203496|203954,1626169|202340|202699|202704|203083,1627732|200755|201573|203496|203954,0.0,-6.0,1610612765.0,21700041,True
1,PT10M34.00S,10:34,Q1 10:34,46.56666666666666,19,rebound,Bayless REBOUND (Off:0 Def:1),[],Bayless,0,2,,False,False,201573.0,,2pt missed,3pt made,,,,1626169|1627732|200755|201573|202340|202699|202704|203083|203496|203954,1627732|200755|201573|203496|203954,1626169|202340|202699|202704|203083,,,1610612755.0,21700041,True
1,PT10M33.00S,10:33,Q1 10:33,46.55,20,3pt,Covington 25' 3PT Jump Shot (3 PTS) (Simmons 2 AST),[],Covington,0,5,Made,True,True,203496.0,1627732.0,rebound,3pt missed,,,,1626169|1627732|200755|201573|202340|202699|202704|203083|203496|203954,1627732|200755|201573|203496|203954,1626169|202340|202699|202704|203083,190.0,161.0,1610612755.0,21700041,True
