period,clock,clock_display,game_clock,minutes_left_in_game,actionNumber,actionType,description,qualifier,playerName,scoreHome,scoreAway,shotResult,isFieldGoal,assisted,person_id,assister_id,previous_action,next_action,foulDrawnPersonId,stealPersonId,blockPersonId,players_on,off_players_on,def_players_on,xLegacy,yLegacy,teamId,game_id,poc_ok
1,PT12M00.00S,12:00,Q1 12:00,48.0,0,period,Start of 1st Period (9:11 PM EST),[],,0,0,,False,False,0.0,,,turnover,,,,201149|201565|202324|202330|202683|202692|202710|203504|2200|2399,202324|202330|202683|202692|203504,201149|201565|202710|2200|2399,,,1610612762.0,21400204,True
1,PT11M42.00S,11:42,Q1 11:42,47.7,2,turnover,Burks Bad Pass Turnover (P1.T1),[],Burks,0,0,,False,False,202692.0,,period,steal,,,,201149|201565|202324|202330|202683|202692|202710|203504|2200|2399,202324|202330|202683|202692|203504,201149|201565|202710|2200|2399,,,1610612762.0,21400204,True
1,PT11M42.00S,11:42,Q1 11:42,47.7,2,steal,Butler STEAL (1 STL),[],Butler,0,0,,False,False,202710.0,,turnover,2pt made,,202710.0,,201149|201565|202324|202330|202683|202692|202710|203504|2200|2399,201149|201565|202710|2200|2399,202324|202330|202683|202692|203504,,,1610612741.0,21400204,True
1,PT11M37.00S,11:37,Q1 11:37,47.61666666666667,3,2pt,Butler  Slam Dunk (2 PTS),['pointsinthepaint'],Butler,0,2,Made,True,False,202710.0,,steal,turnover,,,,201149|201565|202324|202330|202683|202692|202710|203504|2200|2399,201149|201565|202710|2200|2399,202324|202330|202683|202692|203504,0.0,1.0,1610612741.0,21400204,True
1,PT11M28.00S,11:28,Q1 11:28,47.46666666666667,4,turnover,Kanter Bad Pass Turnover (P1.T2),[],Freedom,0,0,,False,False,202683.0,,2pt made,steal,,,,201149|201565|202324|202330|202683|202692|202710|203504|2200|2399,202324|202330|202683|202692|203504,201149|201565|202710|2200|2399,,,1610612762.0,21400204,True
1,PT11M28.00S,11:28,Q1 11:28,47.46666666666667,4,steal,Butler STEAL (2 STL),[],Butler,0,0,,False,False,202710.0,,turnover,2pt missed,,202710.0,,201149|201565|202324|202330|202683|202692|202710|203504|2200|2399,201149|201565|202710|2200|2399,202324|202330|202683|202692|203504,,,1610612741.0,21400204,True
1,PT11M24.00S,11:24,Q1 11:24,47.4,5,2pt,MISS Butler  Dunk,['pointsinthepaint'],Butler,0,0,Missed,True,False,202710.0,,steal,rebound,,,,201149|201565|202324|202330|202683|202692|202710|203504|2200|2399,201149|201565|202710|2200|2399,202324|202330|202683|202692|203504,0.0,1.0,1610612741.0,21400204,True
1,PT11M21.00S,11:21,Q1 11:21,47.35,6,rebound,Butler REBOUND (Off:1 Def:0),[],Butler,0,0,,False,False,202710.0,,2pt missed,2pt missed,,,,201149|201565|202324|202330|202683|202692|202710|203504|2200|2399,201149|201565|202710|2200|2399,202324|202330|202683|202692|203504,,,1610612741.0,21400204,True
1,PT11M18.00S,11:18,Q1 11:18,47.3,7,2pt,MISS Gasol 7' Jump Shot,['pointsinthepaint'],Gasol,0,0,Missed,True,False,2200.0,,rebound,rebound,,,,201149|201565|202324|202330|202683|202692|202710|203504|2200|2399,201149|201565|202710|2200|2399,202324|202330|202683|202692|203504,26.0,66.0,1610612741.0,21400204,True
1,PT11M16.00S,11:16,Q1 11:16,47.266666666666666,8,rebound,Kanter REBOUND (Off:0 Def:1),[],Freedom,0,0,,False,False,202683.0,,2pt missed,2pt missed,,,,201149|201565|202324|202330|202683|202692|202710|203504|2200|2399,202324|202330|202683|202692|203504,201149|201565|202710|2200|2399,,,1610612762.0,21400204,True
1,PT11M06.00S,11:06,Q1 11:06,47.1,9,2pt,MISS Favors 19' Jump Shot,[],Favors,0,0,Missed,True,False,202324.0,,rebound,rebound,,,,201149|201565|202324|202330|202683|202692|202710|203504|2200|2399,202324|202330|202683|202692|203504,201149|201565|202710|2200|2399,99.0,157.0,1610612762.0,21400204,True
1,PT11M04.00S,11:04,Q1 11:04,47.06666666666666,10,rebound,Noah REBOUND (Off:0 Def:1),[],Noah,0,0,,False,False,201149.0,,2pt missed,2pt made,,,,201149|201565|202324|202330|202683|202692|202710|203504|2200|2399,201149|201565|202710|2200|2399,202324|202330|202683|202692|203504,,,1610612741.0,21400204,True
1,PT10M48.00S,10:48,Q1 10:48,46.8,11,2pt,Gasol 2' Layup (2 PTS) (Rose 1 AST),['pointsinthepaint'],Gasol,0,4,Made,True,True,2200.0,201565.0,rebound,turnover,,,,201149|201565|202324|202330|202683|202692|202710|203504|2200|2399,201149|201565|202710|2200|2399,202324|202330|202683|202692|203504,-11.0,11.0,1610612741.0,21400204,True
1,PT10M39.00S,10:39,Q1 10:39,46.65,12,turnover,Hayward Bad Pass Turnover (P1.T3),[],Hayward,0,0,,False,False,202330.0,,2pt made,steal,,,,201149|201565|202324|202330|202683|202692|202710|203504|2200|2399,202324|202330|202683|202692|203504,201149|201565|202710|2200|2399,,,1610612762.0,21400204,True
1,PT10M39.00S,10:39,Q1 10:39,46.65,12,steal,Gasol STEAL (1 STL),[],Gasol,0,0,,False,False,2200.0,,turnover,3pt made,,2200.0,,201149|201565|202324|202330|202683|202692|202710|203504|2200|2399,201149|201565|202710|2200|2399,202324|202330|202683|202692|203504,,,1610612741.0,21400204,True
1,PT10M33.00S,10:33,Q1 10:33,46.55,13,3pt,Rose 24' 3PT Jump Shot (3 PTS) (Gasol 1 AST),[],Rose,0,7,Made,True,True,201565.0,2200.0,steal,2pt missed,,,,201149|201565|202324|202330|202683|202692|202710|203504|2200|2399,201149|201565|202710|2200|2399,202324|202330|202683|202692|203504,147.0,192.0,1610612741.0,21400204,True
1,PT10M12.00S,10:12,Q1 10:12,46.2,14,2pt,MISS Burke 4' Jump Shot,['pointsinthepaint'],Burke,0,0,Missed,True,False,203504.0,,3pt made,rebound,,,,201149|201565|202324|202330|202683|202692|202710|203504|2200|2399,202324|202330|202683|202692|203504,201149|201565|202710|2200|2399,36.0,12.0,1610612762.0,21400204,True
1,PT10M10.00S,10:10,Q1 10:10,46.166666666666664,15,rebound,Favors REBOUND (Off:1 Def:0),[],Favors,0,0,,False,False,202324.0,,2pt missed,2pt missed,,,,201149|201565|202324|202330|202683|202692|202710|203504|2200|2399,202324|202330|202683|202692|203504,201149|201565|202710|2200|2399,,,1610612762.0,21400204,True
1,PT10M06.00S,10:06,Q1 10:06,46.1,16,2pt,MISS Burks 21' Jump Shot,[],Burks,0,0,Missed,True,False,202692.0,,rebound,rebound,,,,201149|201565|202324|202330|202683|202692|202710|203504|2200|2399,202324|202330|202683|202692|203504,201149|201565|202710|2200|2399,81.0,197.0,1610612762.0,21400204,True
1,PT10M05.00S,10:05,Q1 10:05,46.083333333333336,17,rebound,Favors REBOUND (Off:2 Def:0),[],Favors,0,0,,False,False,202324.0,,2pt missed,2pt missed,,,,201149|201565|202324|202330|202683|202692|202710|203504|2200|2399,202324|202330|202683|202692|203504,201149|201565|202710|2200|2399,,,1610612762.0,21400204,True
1,PT09M50.00S,09:50,Q1 09:50,45.833333333333336,18,2pt,MISS Kanter 22' Jump Shot,[],Freedom,0,0,Missed,True,False,202683.0,,rebound,rebound,,,,201149|201565|202324|202330|202683|202692|202710|203504|2200|2399,202324|202330|202683|202692|203504,201149|201565|202710|2200|2399,-215.0,20.0,1610612762.0,21400204,True
1,PT09M49.00S,09:49,Q1 09:49,45.81666666666666,19,rebound,Dunleavy REBOUND (Off:0 Def:1),[],Dunleavy,0,0,,False,False,2399.0,,2pt missed,foul,,,,201149|201565|202324|202330|202683|202692|202710|203504|2200|2399,201149|201565|202710|2200|2399,202324|202330|202683|202692|203504,,,1610612741.0,21400204,True
1,PT09M42.00S,09:42,Q1 09:42,45.7,20,foul,Burke S.FOUL (P1.T1),[],Burke,0,0,,False,False,203504.0,,rebound,instant replay,201565.0,,,201149|201565|202324|202330|202683|202692|202710|203504|2200|2399,202324|202330|202683|202692|203504,201149|201565|202710|2200|2399,,,1610612762.0,21400204,True
1,PT09M42.00S,09:42,Q1 09:42,45.7,22,freethrow,Rose Free Throw 1 of 3 (4 PTS),[],Rose,0,8,Made,False,False,201565.0,,instant replay,freethrow,,,,201149|201565|202324|202330|202683|202692|202710|203504|2200|2399,201149|201565|202710|2200|2399,202324|202330|202683|202692|203504,,,1610612741.0,21400204,True
1,PT09M42.00S,09:42,Q1 09:42,45.7,24,freethrow,Rose Free Throw 2 of 3 (5 PTS),[],Rose,0,9,Made,False,False,201565.0,,freethrow,freethrow,,,,201149|201565|202324|202330|202683|202692|202710|203504|2200|2399,201149|201565|202710|2200|2399,202324|202330|202683|202692|203504,,,1610612741.0,21400204,True
1,PT09M42.00S,09:42,Q1 09:42,45.7,26,freethrow,MISS Rose Free Throw 3 of 3,[],Rose,0,0,Missed,False,False,201565.0,,freethrow,rebound,,,,201149|201565|202324|202330|202683|202692|202710|203504|2200|2399,201149|201565|202710|2200|2399,202324|202330|202683|202692|203504,,,1610612741.0,21400204,True
1,PT09M41.00S,09:41,Q1 09:41,45.68333333333334,28,rebound,Kanter REBOUND (Off:0 Def:2),[],Freedom,0,0,,False,False,202683.0,,freethrow,2pt made,,,,201149|201565|202324|202330|202683|202692|202710|203504|2200|2399,202324|202330|202683|202692|203504,201149|201565|202710|2200|2399,,,1610612762.0,21400204,True
1,PT09M19.00S,09:19,Q1 09:19,45.31666666666666,29,2pt,Favors 19' Jump Shot (2 PTS) (Burke 1 AST),[],Favors,2,9,Made,True,True,202324.0,203504.0,rebound,2pt made,,,,201149|201565|202324|202330|202683|202692|202710|203504|2200|2399,202324|202330|202683|202692|203504,201149|201565|202710|2200|2399,-190.0,-17.0,1610612762.0,21400204,True
1,PT08M57.00S,08:57,Q1 08:57,44.95,30,2pt,Rose 17' Jump Shot (7 PTS) (Dunleavy 1 AST),[],Rose,2,11,Made,True,True,201565.0,2399.0,2pt made,2pt made,,,,201149|201565|202324|202330|202683|202692|202710|203504|2200|2399,201149|201565|202710|2200|2399,202324|202330|202683|202692|203504,168.0,-22.0,1610612741.0,21400204,True
1,PT08M36.00S,08:36,Q1 08:36,44.6,31,2pt,Favors 17' Jump Shot (4 PTS) (Burks 1 AST),[],Favors,4,11,Made,True,True,202324.0,202692.0,2pt made,3pt made,,,,201149|201565|202324|202330|202683|202692|202710|203504|2200|2399,202324|202330|202683|202692|203504,201149|201565|202710|2200|2399,-160.0,47.0,1610612762.0,21400204,True
1,PT08M22.00S,08:22,Q1 08:22,44.36666666666667,32,3pt,Rose 25' 3PT Jump Shot (10 PTS),[],Rose,4,14,Made,True,False,201565.0,,2pt made,turnover,,,,201149|201565|202324|202330|202683|202692|202710|203504|2200|2399,201149|201565|202710|2200|2399,202324|202330|202683|202692|203504,-105.0,225.0,1610612741.0,21400204,True
