period,clock,clock_display,game_clock,minutes_left_in_game,actionNumber,actionType,description,qualifier,playerName,scoreHome,scoreAway,shotResult,isFieldGoal,assisted,person_id,assister_id,previous_action,next_action,foulDrawnPersonId,stealPersonId,blockPersonId,players_on,off_players_on,def_players_on,xLegacy,yLegacy,teamId,game_id,poc_ok
1,PT12M00.00S,12:00,Q1 12:00,48.0,2,period,Start of 1st Period (8:41 PM EST),[],,0,0,,False,False,0.0,,,2pt made,,,,101162|1628372|1628467|1717|202083|202322|202693|203078|203084|203490,1628372|1628467|1717|202083|203084,101162|202322|202693|203078|203490,,,1610612742.0,21700693,True
1,PT11M40.00S,11:40,Q1 11:40,47.666666666666664,7,2pt,Porter Jr. 21' Pullup Jump Shot (2 PTS) (Beal 1 AST),[],Porter Jr.,0,2,Made,True,True,203490.0,203078.0,period,2pt made,,,,101162|1628372|1628467|1717|202083|202322|202693|203078|203084|203490,101162|202322|202693|203078|203490,1628372|1628467|1717|202083|203084,-113.0,173.0,1610612764.0,21700693,True
1,PT11M18.00S,11:18,Q1 11:18,47.3,9,2pt,Nowitzki 13' Fadeaway Jumper (2 PTS) (Smith Jr. 1 AST),[],Nowitzki,2,2,Made,True,True,1717.0,1628372.0,2pt made,2pt missed,,,,101162|1628372|1628467|1717|202083|202322|202693|203078|203084|203490,1628372|1628467|1717|202083|203084,101162|202322|202693|203078|203490,131.0,4.0,1610612742.0,21700693,True
1,PT11M02.00S,11:02,Q1 11:02,47.03333333333333,651,2pt,MISS Wall 14' Pullup Jump Shot,[],Wall,2,2,Missed,True,False,202322.0,,2pt made,block,,,,101162|1628372|1628467|1717|202083|202322|202693|203078|203084|203490,101162|202322|202693|203078|203490,1628372|1628467|1717|202083|203084,2.0,139.0,1610612764.0,21700693,True
1,PT11M02.00S,11:02,Q1 11:02,47.03333333333333,651,block,Smith Jr. BLOCK (1 BLK),[],Smith Jr.,2,2,,False,False,1628372.0,,2pt missed,rebound,,,1628372.0,101162|1628372|1628467|1717|202083|202322|202693|203078|203084|203490,1628372|1628467|1717|202083|203084,101162|202322|202693|203078|203490,,,1610612742.0,21700693,True
1,PT11M01.00S,11:01,Q1 11:01,47.016666666666666,653,rebound,Wall REBOUND (Off:1 Def:0),[],Wall,2,2,,False,False,202322.0,,block,2pt made,,,,101162|1628372|1628467|1717|202083|202322|202693|203078|203084|203490,101162|202322|202693|203078|203490,1628372|1628467|1717|202083|203084,,,1610612764.0,21700693,True
1,PT10M55.00S,10:55,Q1 10:55,46.916666666666664,11,2pt,Wall 19' Pullup Jump Shot (2 PTS),[],Wall,2,4,Made,True,False,202322.0,,rebound,2pt missed,,,,101162|1628372|1628467|1717|202083|202322|202693|203078|203084|203490,101162|202322|202693|203078|203490,1628372|1628467|1717|202083|203084,-33.0,187.0,1610612764.0,21700693,True
1,PT10M40.00S,10:40,Q1 10:40,46.666666666666664,12,2pt,MISS Kleber 2' Cutting Layup Shot,['pointsinthepaint'],Kleber,2,4,Missed,True,False,1628467.0,,2pt made,block,,,,101162|1628372|1628467|1717|202083|202322|202693|203078|203084|203490,1628372|1628467|1717|202083|203084,101162|202322|202693|203078|203490,-18.0,7.0,1610612742.0,21700693,True
1,PT10M40.00S,10:40,Q1 10:40,46.666666666666664,12,block,Wall BLOCK (1 BLK),[],Wall,2,4,,False,False,202322.0,,2pt missed,rebound,,,202322.0,101162|1628372|1628467|1717|202083|202322|202693|203078|203084|203490,101162|202322|202693|203078|203490,1628372|1628467|1717|202083|203084,,,1610612764.0,21700693,True
1,PT10M37.00S,10:37,Q1 10:37,46.61666666666667,14,rebound,Morris REBOUND (Off:0 Def:1),[],Morris,2,4,,False,False,202693.0,,block,2pt missed,,,,101162|1628372|1628467|1717|202083|202322|202693|203078|203084|203490,101162|202322|202693|203078|203490,1628372|1628467|1717|202083|203084,,,1610612764.0,21700693,True
1,PT10M30.00S,10:30,Q1 10:30,46.5,15,2pt,MISS Gortat 8' Turnaround Hook Shot,['pointsinthepaint'],Gortat,2,4,Missed,True,False,101162.0,,rebound,rebound,,,,101162|1628372|1628467|1717|202083|202322|202693|203078|203084|203490,101162|202322|202693|203078|203490,1628372|1628467|1717|202083|203084,-79.0,17.0,1610612764.0,21700693,True
1,PT10M28.00S,10:28,Q1 10:28,46.46666666666667,16,rebound,TEAM defensive REBOUND,['team'],,2,4,,False,False,0.0,,2pt missed,2pt made,,,,101162|1628372|1628467|1717|202083|202322|202693|203078|203084|203490,1628372|1628467|1717|202083|203084,101162|202322|202693|203078|203490,,,1610612742.0,21700693,True
