period,clock,clock_display,game_clock,minutes_left_in_game,actionNumber,actionType,description,qualifier,playerName,scoreHome,scoreAway,shotResult,isFieldGoal,assisted,person_id,assister_id,previous_action,next_action,foulDrawnPersonId,stealPersonId,blockPersonId,players_on,off_players_on,def_players_on,xLegacy,yLegacy,teamId,game_id,poc_ok
1,PT12M00.00S,12:00,Q1 12:00,48.0,2,period,Start of 1st Period (8:41 PM EST),[],,0,0,,False,False,0.0,,,turnover,,,,1626172|1626188|1627733|1627737|1627755|1628367|201142|202691|203110|203584,1626172|1626188|201142|202691|203110,1627733|1627737|1627755|1628367|203584,,,1610612744.0,21701153,True
1,PT11M48.00S,11:48,Q1 11:48,47.8,7,turnover,Green Bad Pass Turnover (P1.T1),[],Green,0,0,,False,False,203110.0,,period,steal,,,,1626172|1626188|1627733|1627737|1627755|1628367|201142|202691|203110|203584,1626172|1626188|201142|202691|203110,1627733|1627737|1627755|1628367|203584,,,1610612744.0,21701153,True
1,PT11M48.00S,11:48,Q1 11:48,47.8,7,steal,Daniels STEAL (1 STL),[],Daniels,0,0,,False,False,203584.0,,turnover,2pt made,,203584.0,,1626172|1626188|1627733|1627737|1627755|1628367|201142|202691|203110|203584,1627733|1627737|1627755|1628367|203584,1626172|1626188|201142|202691|203110,,,1610612756.0,21701153,True
1,PT11M42.00S,11:42,Q1 11:42,47.7,9,2pt,Daniels 3' Running Reverse Layup (2 PTS),['pointsinthepaint'],Daniels,0,2,Made,True,False,203584.0,,steal,turnover,,,,1626172|1626188|1627733|1627737|1627755|1628367|201142|202691|203110|203584,1627733|1627737|1627755|1628367|203584,1626172|1626188|201142|202691|203110,18.0,28.0,1610612756.0,21701153,True
1,PT11M34.00S,11:34,Q1 11:34,47.56666666666666,10,turnover,Durant Out of Bounds - Bad Pass Turnover Turnover (P1.T2),[],Durant,0,2,,False,False,201142.0,,2pt made,2pt missed,,,,1626172|1626188|1627733|1627737|1627755|1628367|201142|202691|203110|203584,1626172|1626188|201142|202691|203110,1627733|1627737|1627755|1628367|203584,,,1610612744.0,21701153,True
1,PT11M20.00S,11:20,Q1 11:20,47.333333333333336,11,2pt,MISS Chriss 9' Hook Shot,['pointsinthepaint'],Chriss,0,2,Missed,True,False,1627737.0,,turnover,rebound,,,,1626172|1626188|1627733|1627737|1627755|1628367|201142|202691|203110|203584,1627733|1627737|1627755|1628367|203584,1626172|1626188|201142|202691|203110,-12.0,89.0,1610612756.0,21701153,True
1,PT11M18.00S,11:18,Q1 11:18,47.3,13,rebound,Thompson REBOUND (Off:0 Def:1),[],Thompson,0,2,,False,False,202691.0,,2pt missed,3pt missed,,,,1626172|1626188|1627733|1627737|1627755|1628367|201142|202691|203110|203584,1626172|1626188|201142|202691|203110,1627733|1627737|1627755|1628367|203584,,,1610612744.0,21701153,True
1,PT11M11.00S,11:11,Q1 11:11,47.18333333333334,14,3pt,MISS Green 28' 3PT Running Jump Shot,[],Green,0,2,Missed,True,False,203110.0,,rebound,rebound,,,,1626172|1626188|1627733|1627737|1627755|1628367|201142|202691|203110|203584,1626172|1626188|201142|202691|203110,1627733|1627737|1627755|1628367|203584,92.0,262.0,1610612744.0,21701153,True
1,PT11M08.00S,11:08,Q1 11:08,47.13333333333333,15,rebound,Chriss REBOUND (Off:0 Def:1),[],Chriss,0,2,,False,False,1627737.0,,3pt missed,turnover,,,,1626172|1626188|1627733|1627737|1627755|1628367|201142|202691|203110|203584,1627733|1627737|1627755|1628367|203584,1626172|1626188|201142|202691|203110,,,1610612756.0,21701153,True
1,PT11M05.00S,11:05,Q1 11:05,47.083333333333336,16,turnover,Chriss Traveling Turnover (P1.T1),[],Chriss,0,2,,False,False,1627737.0,,rebound,turnover,,,,1626172|1626188|1627733|1627737|1627755|1628367|201142|202691|203110|203584,1627733|1627737|1627755|1628367|203584,1626172|1626188|201142|202691|203110,,,1610612756.0,21701153,True
