period,clock,clock_display,game_clock,minutes_left_in_game,actionNumber,actionType,description,qualifier,playerName,scoreHome,scoreAway,shotResult,isFieldGoal,assisted,person_id,assister_id,previous_action,next_action,foulDrawnPersonId,stealPersonId,blockPersonId,players_on,off_players_on,def_players_on,xLegacy,yLegacy,teamId,game_id
1,PT11M40.00S,11:40,Q1 11:40,46.333333333333336,7,foul,K. Ware shooting personal FOUL (1 PF) (Bane 2 FT),['2freethrow'],Ware,0,0,,False,False,1642276,,,freethrow,1630217.0,,,1628389|1628976|1629639|1630217|1630558|1630591|1631094|1641783|1641796|1642276,1628389|1629639|1630558|1641796|1642276,1628976|1630217|1630591|1631094|1641783,,,1610612748.0,22500972
1,PT11M40.00S,11:40,Q1 11:40,46.333333333333336,9,freethrow,D. Bane Free Throw 1 of 2 (1 PTS),[],Bane,0,1,Made,False,False,1630217,,foul,freethrow,,,,1628389|1628976|1629639|1630217|1630558|1630591|1631094|1641783|1641796|1642276,1628976|1630217|1630591|1631094|1641783,1628389|1629639|1630558|1641796|1642276,,,1610612753.0,22500972
1,PT11M40.00S,11:40,Q1 11:40,46.333333333333336,10,freethrow,D. Bane Free Throw 2 of 2 (2 PTS),[],Bane,0,2,Made,False,False,1630217,,freethrow,foul,,,,1628389|1628976|1629639|1630217|1630558|1630591|1631094|1641783|1641796|1642276,1628976|1630217|1630591|1631094|1641783,1628389|1629639|1630558|1641796|1642276,,,1610612753.0,22500972
1,PT11M29.00S,11:29,Q1 11:29,46.516666666666666,11,foul,D. Bane personal FOUL (1 PF),[],Bane,0,2,,False,False,1630217,,freethrow,3pt made,1641796.0,,,1628389|1628976|1629639|1630217|1630558|1630591|1631094|1641783|1641796|1642276,1628976|1630217|1630591|1631094|1641783,1628389|1629639|1630558|1641796|1642276,,,1610612753.0,22500972
1,PT11M15.00S,11:15,Q1 11:15,46.75,13,3pt,D. Mitchell 24' 3PT step back (3 PTS),[],Mitchell,3,2,Made,True,False,1630558,,foul,3pt made,,,,1628389|1628976|1629639|1630217|1630558|1630591|1631094|1641783|1641796|1642276,1628389|1629639|1630558|1641796|1642276,1628976|1630217|1630591|1631094|1641783,-49.0,243.0,1610612748.0,22500972
1,PT11M06.00S,11:06,Q1 11:06,46.9,15,3pt,D. Bane 26' 3PT  (5 PTS) (W. Carter Jr. 1 AST),[],Bane,3,5,Made,True,True,1630217,1628976.0,3pt made,2pt made,,,,1628389|1628976|1629639|1630217|1630558|1630591|1631094|1641783|1641796|1642276,1628976|1630217|1630591|1631094|1641783,1628389|1629639|1630558|1641796|1642276,-170.0,207.0,1610612753.0,22500972
1,PT10M56.00S,10:56,Q1 10:56,45.06666666666667,17,2pt,T. Herro driving Layup (2 PTS) (P. Larsson 1 AST),['pointsinthepaint'],Herro,5,5,Made,True,True,1629639,1641796.0,3pt made,foul,,,,1628389|1628976|1629639|1630217|1630558|1630591|1631094|1641783|1641796|1642276,1628389|1629639|1630558|1641796|1642276,1628976|1630217|1630591|1631094|1641783,33.0,47.0,1610612748.0,22500972
1,PT10M42.00S,10:42,Q1 10:42,45.3,18,foul,D. Mitchell shooting personal FOUL (1 PF) (Banchero 2 FT),['2freethrow'],Mitchell,5,5,,False,False,1630558,,2pt made,freethrow,1631094.0,,,1628389|1628976|1629639|1630217|1630558|1630591|1631094|1641783|1641796|1642276,1628389|1629639|1630558|1641796|1642276,1628976|1630217|1630591|1631094|1641783,,,1610612748.0,22500972
1,PT10M42.00S,10:42,Q1 10:42,45.3,20,freethrow,P. Banchero Free Throw 1 of 2 (1 PTS),[],Banchero,5,6,Made,False,False,1631094,,foul,freethrow,,,,1628389|1628976|1629639|1630217|1630558|1630591|1631094|1641783|1641796|1642276,1628976|1630217|1630591|1631094|1641783,1628389|1629639|1630558|1641796|1642276,,,1610612753.0,22500972
1,PT10M42.00S,10:42,Q1 10:42,45.3,21,freethrow,P. Banchero Free Throw 2 of 2 (2 PTS),[],Banchero,5,7,Made,False,False,1631094,,freethrow,2pt missed,,,,1628389|1628976|1629639|1630217|1630558|1630591|1631094|1641783|1641796|1642276,1628976|1630217|1630591|1631094|1641783,1628389|1629639|1630558|1641796|1642276,,,1610612753.0,22500972
