period,clock,clock_display,game_clock,minutes_left_in_game,actionNumber,actionType,description,qualifier,playerName,scoreHome,scoreAway,shotResult,isFieldGoal,assisted,person_id,assister_id,previous_action,next_action,foulDrawnPersonId,stealPersonId,blockPersonId,players_on,off_players_on,def_players_on,xLegacy,yLegacy,teamId,game_id,poc_ok
1,PT12M00.00S,12:00,Q1 12:00,48.0,0,period,Start of 1st Period (7:11 PM EST),[],,0,0,,False,False,0.0,,,2pt made,,,,101133|101145|201588|201935|201976|202331|202730|203991|2730|2772,201935|201976|203991|2730|2772,101133|101145|201588|202331|202730,,,1610612745.0,21500561,True
1,PT11M45.00S,11:45,Q1 11:45,47.75,2,2pt,Howard Cutting Dunk Shot (2 PTS) (Capela 1 AST),['pointsinthepaint'],Howard,2,0,Made,True,True,2730.0,203991.0,period,2pt missed,,,,101133|101145|201588|201935|201976|202331|202730|203991|2730|2772,201935|201976|203991|2730|2772,101133|101145|201588|202331|202730,0.0,1.0,1610612745.0,21500561,True
1,PT11M26.00S,11:26,Q1 11:26,47.43333333333334,3,2pt,MISS Mahinmi 10' Jump Shot,['pointsinthepaint'],Mahinmi,2,0,Missed,True,False,101133.0,,2pt made,rebound,,,,101133|101145|201588|201935|201976|202331|202730|203991|2730|2772,101133|101145|201588|202331|202730,201935|201976|203991|2730|2772,-45.0,87.0,1610612754.0,21500561,True
1,PT11M25.00S,11:25,Q1 11:25,47.416666666666664,4,rebound,Capela REBOUND (Off:0 Def:1),[],Capela,2,0,,False,False,203991.0,,2pt missed,3pt made,,,,101133|101145|201588|201935|201976|202331|202730|203991|2730|2772,201935|201976|203991|2730|2772,101133|101145|201588|202331|202730,,,1610612745.0,21500561,True
1,PT11M19.00S,11:19,Q1 11:19,47.31666666666666,5,3pt,Beverley 25' 3PT Pullup Jump Shot (3 PTS),[],Beverley,5,0,Made,True,False,201976.0,,rebound,2pt missed,,,,101133|101145|201588|201935|201976|202331|202730|203991|2730|2772,201935|201976|203991|2730|2772,101133|101145|201588|202331|202730,179.0,178.0,1610612745.0,21500561,True
1,PT11M03.00S,11:03,Q1 11:03,47.05,6,2pt,MISS Allen 10' Hook Shot,['pointsinthepaint'],Allen,5,0,Missed,True,False,202730.0,,3pt made,rebound,,,,101133|101145|201588|201935|201976|202331|202730|203991|2730|2772,101133|101145|201588|202331|202730,201935|201976|203991|2730|2772,-61.0,85.0,1610612754.0,21500561,True
1,PT11M02.00S,11:02,Q1 11:02,47.03333333333333,7,rebound,Capela REBOUND (Off:0 Def:2),[],Capela,5,0,,False,False,203991.0,,2pt missed,3pt made,,,,101133|101145|201588|201935|201976|202331|202730|203991|2730|2772,201935|201976|203991|2730|2772,101133|101145|201588|202331|202730,,,1610612745.0,21500561,True
1,PT10M56.00S,10:56,Q1 10:56,46.93333333333334,8,3pt,Beverley 25' 3PT Pullup Jump Shot (6 PTS) (Harden 1 AST),[],Beverley,8,0,Made,True,True,201976.0,201935.0,rebound,2pt made,,,,101133|101145|201588|201935|201976|202331|202730|203991|2730|2772,201935|201976|203991|2730|2772,101133|101145|201588|202331|202730,179.0,174.0,1610612745.0,21500561,True
1,PT10M42.00S,10:42,Q1 10:42,46.7,9,2pt,Mahinmi Cutting Dunk Shot (2 PTS) (Ellis 1 AST),['pointsinthepaint'],Mahinmi,8,2,Made,True,True,101133.0,101145.0,3pt made,foul,,,,101133|101145|201588|201935|201976|202331|202730|203991|2730|2772,101133|101145|201588|202331|202730,201935|201976|203991|2730|2772,0.0,1.0,1610612754.0,21500561,True
1,PT10M42.00S,10:42,Q1 10:42,46.7,10,foul,Capela S.FOUL (P1.T1) (M.McCutchen),[],Capela,8,2,,False,False,203991.0,,2pt made,freethrow,101133.0,,,101133|101145|201588|201935|201976|202331|202730|203991|2730|2772,201935|201976|203991|2730|2772,101133|101145|201588|202331|202730,,,1610612745.0,21500561,True
