period,clock,clock_display,game_clock,minutes_left_in_game,actionNumber,actionType,description,qualifier,playerName,scoreHome,scoreAway,shotResult,isFieldGoal,assisted,person_id,assister_id,previous_action,next_action,foulDrawnPersonId,stealPersonId,blockPersonId,players_on,off_players_on,def_players_on,xLegacy,yLegacy,teamId,game_id,poc_ok
1,PT12M00.00S,12:00,Q1 12:00,48.0,0,period,Start of 1st Period (8:11 PM EST),[],,0,0,,False,False,0.0,,,2pt missed,,,,201147|201567|201593|201937|202087|202681|202684|203079|203133|2760,201147|201567|201593|201937|203133,202087|202681|202684|203079|2760,,,1610612750.0,21300115,True
1,PT11M44.00S,11:44,Q1 11:44,47.733333333333334,2,2pt,MISS Brewer 8' Running Jump Shot,['pointsinthepaint'],Brewer,0,0,Missed,True,False,201147.0,,period,rebound,,,,201147|201567|201593|201937|202087|202681|202684|203079|203133|2760,201147|201567|201593|201937|203133,202087|202681|202684|203079|2760,59.0,58.0,1610612750.0,21300115,True
1,PT11M43.00S,11:43,Q1 11:43,47.71666666666667,3,rebound,Waiters REBOUND (Off:0 Def:1),[],Waiters,0,0,,False,False,203079.0,,2pt missed,turnover,,,,201147|201567|201593|201937|202087|202681|202684|203079|203133|2760,202087|202681|202684|203079|2760,201147|201567|201593|201937|203133,,,1610612739.0,21300115,True
1,PT11M25.00S,11:25,Q1 11:25,47.416666666666664,4,turnover,Irving Bad Pass Turnover (P1.T1),[],Irving,0,0,,False,False,202681.0,,rebound,2pt made,,,,201147|201567|201593|201937|202087|202681|202684|203079|203133|2760,202087|202681|202684|203079|2760,201147|201567|201593|201937|203133,,,1610612739.0,21300115,True
1,PT11M21.00S,11:21,Q1 11:21,47.35,5,2pt,Brewer 2' Driving Layup (2 PTS) (Rubio 1 AST),['pointsinthepaint'],Brewer,2,0,Made,True,True,201147.0,201937.0,turnover,3pt made,,,,201147|201567|201593|201937|202087|202681|202684|203079|203133|2760,201147|201567|201593|201937|203133,202087|202681|202684|203079|2760,23.0,-3.0,1610612750.0,21300115,True
1,PT11M08.00S,11:08,Q1 11:08,47.13333333333333,6,3pt,Waiters 26' 3PT Jump Shot (3 PTS),[],Waiters,2,3,Made,True,False,203079.0,,2pt made,foul,,,,201147|201567|201593|201937|202087|202681|202684|203079|203133|2760,202087|202681|202684|203079|2760,201147|201567|201593|201937|203133,88.0,241.0,1610612739.0,21300115,True
1,PT10M56.00S,10:56,Q1 10:56,46.93333333333334,7,foul,Waiters S.FOUL (P1.T1),[],Waiters,0,0,,False,False,203079.0,,3pt made,freethrow,201147.0,,,201147|201567|201593|201937|202087|202681|202684|203079|203133|2760,202087|202681|202684|203079|2760,201147|201567|201593|201937|203133,,,1610612739.0,21300115,True
1,PT10M56.00S,10:56,Q1 10:56,46.93333333333334,8,freethrow,Brewer Free Throw 1 of 2 (3 PTS),[],Brewer,3,3,Made,False,False,201147.0,,foul,freethrow,,,,201147|201567|201593|201937|202087|202681|202684|203079|203133|2760,201147|201567|201593|201937|203133,202087|202681|202684|203079|2760,,,1610612750.0,21300115,True
1,PT10M56.00S,10:56,Q1 10:56,46.93333333333334,10,freethrow,Brewer Free Throw 2 of 2 (4 PTS),[],Brewer,4,3,Made,False,False,201147.0,,freethrow,2pt made,,,,201147|201567|201593|201937|202087|202681|202684|203079|203133|2760,201147|201567|201593|201937|203133,202087|202681|202684|203079|2760,,,1610612750.0,21300115,True
1,PT10M37.00S,10:37,Q1 10:37,46.61666666666667,12,2pt,Irving 19' Step Back Jump Shot (2 PTS),[],Irving,4,5,Made,True,False,202681.0,,freethrow,2pt missed,,,,201147|201567|201593|201937|202087|202681|202684|203079|203133|2760,202087|202681|202684|203079|2760,201147|201567|201593|201937|203133,-155.0,108.0,1610612739.0,21300115,True
1,PT10M19.00S,10:19,Q1 10:19,46.31666666666666,13,2pt,MISS Pekovic 6' Jump Hook Shot,['pointsinthepaint'],Pekovic,0,0,Missed,True,False,201593.0,,2pt made,rebound,,,,201147|201567|201593|201937|202087|202681|202684|203079|203133|2760,201147|201567|201593|201937|203133,202087|202681|202684|203079|2760,6.0,64.0,1610612750.0,21300115,True
1,PT10M18.00S,10:18,Q1 10:18,46.3,14,rebound,Gee REBOUND (Off:0 Def:1),[],Gee,0,0,,False,False,202087.0,,2pt missed,3pt missed,,,,201147|201567|201593|201937|202087|202681|202684|203079|203133|2760,202087|202681|202684|203079|2760,201147|201567|201593|201937|203133,,,1610612739.0,21300115,True
1,PT09M59.00S,09:59,Q1 09:59,45.983333333333334,16,3pt,MISS Irving 25' 3PT Jump Shot,[],Irving,0,0,Missed,True,False,202681.0,,rebound,rebound,,,,201147|201567|201593|201937|202087|202681|202684|203079|203133|2760,202087|202681|202684|203079|2760,201147|201567|201593|201937|203133,86.0,235.0,1610612739.0,21300115,True
1,PT09M58.00S,09:58,Q1 09:58,45.96666666666667,17,rebound,Love REBOUND (Off:0 Def:1),[],Love,0,0,,False,False,201567.0,,3pt missed,turnover,,,,201147|201567|201593|201937|202087|202681|202684|203079|203133|2760,201147|201567|201593|201937|203133,202087|202681|202684|203079|2760,,,1610612750.0,21300115,True
1,PT09M47.00S,09:47,Q1 09:47,45.78333333333333,18,turnover,Rubio Bad Pass Turnover (P1.T1),[],Rubio,0,0,,False,False,201937.0,,rebound,steal,,,,201147|201567|201593|201937|202087|202681|202684|203079|203133|2760,201147|201567|201593|201937|203133,202087|202681|202684|203079|2760,,,1610612750.0,21300115,True
1,PT09M47.00S,09:47,Q1 09:47,45.78333333333333,18,steal,Gee STEAL (1 STL),[],Gee,0,0,,False,False,202087.0,,turnover,turnover,,202087.0,,201147|201567|201593|201937|202087|202681|202684|203079|203133|2760,202087|202681|202684|203079|2760,201147|201567|201593|201937|203133,,,1610612739.0,21300115,True
1,PT09M43.00S,09:43,Q1 09:43,45.71666666666667,19,turnover,Gee Bad Pass Turnover (P1.T2),[],Gee,0,0,,False,False,202087.0,,steal,steal,,,,201147|201567|201593|201937|202087|202681|202684|203079|203133|2760,202087|202681|202684|203079|2760,201147|201567|201593|201937|203133,,,1610612739.0,21300115,True
1,PT09M43.00S,09:43,Q1 09:43,45.71666666666667,19,steal,Brewer STEAL (1 STL),[],Brewer,0,0,,False,False,201147.0,,turnover,3pt made,,201147.0,,201147|201567|201593|201937|202087|202681|202684|203079|203133|2760,201147|201567|201593|201937|203133,202087|202681|202684|203079|2760,,,1610612750.0,21300115,True
1,PT09M35.00S,09:35,Q1 09:35,45.583333333333336,22,3pt,Brewer  3PT Jump Shot (7 PTS) (Rubio 2 AST),[],Brewer,7,5,Made,True,True,201147.0,201937.0,steal,foul,,,,201147|201567|201593|201937|202087|202681|202684|203079|203133|2760,201147|201567|201593|201937|203133,202087|202681|202684|203079|2760,-221.0,22.0,1610612750.0,21300115,True
1,PT09M18.00S,09:18,Q1 09:18,45.3,24,foul,Hummel P.FOUL (P1.T1),[],Hummel,0,0,,False,False,203133.0,,3pt made,2pt missed,202684.0,,,201147|201567|201593|201937|202087|202681|202684|203079|203133|2760,201147|201567|201593|201937|203133,202087|202681|202684|203079|2760,,,1610612750.0,21300115,True
1,PT09M05.00S,09:05,Q1 09:05,45.083333333333336,25,2pt,MISS Thompson 11' Jump Shot,[],Thompson,0,0,Missed,True,False,202684.0,,foul,rebound,,,,201147|201567|201593|201937|202087|202681|202684|203079|203133|2760,202087|202681|202684|203079|2760,201147|201567|201593|201937|203133,-105.0,14.0,1610612739.0,21300115,True
1,PT09M04.00S,09:04,Q1 09:04,45.06666666666666,26,rebound,Love REBOUND (Off:0 Def:2),[],Love,0,0,,False,False,201567.0,,2pt missed,2pt made,,,,201147|201567|201593|201937|202087|202681|202684|203079|203133|2760,201147|201567|201593|201937|203133,202087|202681|202684|203079|2760,,,1610612750.0,21300115,True
1,PT09M00.00S,09:00,Q1 09:00,45.0,27,2pt,Brewer 1' Driving Layup (9 PTS) (Love 1 AST),['pointsinthepaint'],Brewer,9,5,Made,True,True,201147.0,201567.0,rebound,3pt missed,,,,201147|201567|201593|201937|202087|202681|202684|203079|203133|2760,201147|201567|201593|201937|203133,202087|202681|202684|203079|2760,7.0,3.0,1610612750.0,21300115,True
1,PT08M44.00S,08:44,Q1 08:44,44.733333333333334,28,3pt,MISS Waiters 25' 3PT Jump Shot,[],Waiters,0,0,Missed,True,False,203079.0,,2pt made,rebound,,,,201147|201567|201593|201937|202087|202681|202684|203079|203133|2760,202087|202681|202684|203079|2760,201147|201567|201593|201937|203133,-177.0,173.0,1610612739.0,21300115,True
